event_key,city,weather_date_local,weather_metric,condition_id,event_slug,slug,token_id,asset,temperature_bucket,bucket_kind,bucket_low,bucket_high,unit,public_record_timestamp_utc,public_record_timestamp_cst,relative_day,time_phase,side,price,shares,trade_usd,trade_usd_source,transaction_hash,source_file,source_row_number,raw_transaction_hash,cumulative_buy_usd_event,cumulative_buy_usd_bucket,cumulative_buy_shares_bucket,cumulative_sell_shares_bucket,remaining_shares_bucket,weighted_average_buy_price_bucket,weighted_average_sell_price_bucket,previous_buy_price_bucket,price_change_vs_previous_buy,price_change_vs_pretrade_weighted_average_cost,add_action_classification
2026-04-05__beijing__high,Beijing,2026-04-05,high,0x9212de326b10c219be151825f0575e6997771f7aac21fd85948c36335da06def,highest-temperature-in-beijing-on-april-5-2026,highest-temperature-in-beijing-on-april-5-2026-20c,50154875018612476846202703575007039237316003107042368831080496113341083426516,50154875018612476846202703575007039237316003107042368831080496113341083426516,20°C,exact,20.0,20.0,C,2026-04-04T15:43:29+00:00,2026-04-04T23:43:29+08:00,D-1,D-1_EVENING,BUY,0.2,28.1796,6.126,usdcSize,0x832e996ccca42d14e942ff1b0f1d2b286df03c0a86fec38a11aed9515ff24d79,data/raw/trades.csv,5056,0x832e996ccca42d14e942ff1b0f1d2b286df03c0a86fec38a11aed9515ff24d79,6.126,6.126,28.1796,0.0,28.1796,0.21739130434782608,,,,,NEW_BUCKET_ADD
2026-04-05__beijing__high,Beijing,2026-04-05,high,0x417d06bc127f719cf07548aaad09819cec3d7bea16720d7c8d9685285ca8d041,highest-temperature-in-beijing-on-april-5-2026,highest-temperature-in-beijing-on-april-5-2026-21c,46378176533936676838978591057272071916665451734666991591155679041626452737921,46378176533936676838978591057272071916665451734666991591155679041626452737921,21°C,exact,21.0,21.0,C,2026-04-05T05:36:03+00:00,2026-04-05T13:36:03+08:00,D0,D0_WARMING_CORE,BUY,0.1275087833,84.69416,11.83154,usdcSize,0x2c8a57c37dd6873235083246af6dbaeaca059a5e57479e2f009ae6f7282bf4cb,data/raw/trades.csv,5111,0x2c8a57c37dd6873235083246af6dbaeaca059a5e57479e2f009ae6f7282bf4cb,17.95754,11.83154,84.69416,0.0,84.69416,0.13969723532295497,,,,,NEW_BUCKET_ADD
2026-04-05__beijing__high,Beijing,2026-04-05,high,0x9212de326b10c219be151825f0575e6997771f7aac21fd85948c36335da06def,highest-temperature-in-beijing-on-april-5-2026,highest-temperature-in-beijing-on-april-5-2026-20c,50154875018612476846202703575007039237316003107042368831080496113341083426516,50154875018612476846202703575007039237316003107042368831080496113341083426516,20°C,exact,20.0,20.0,C,2026-04-05T05:36:09+00:00,2026-04-05T13:36:09+08:00,D0,D0_WARMING_CORE,SELL,0.8030434783,23.0,18.47,usdcSize,0xb07dbb5352741a2a705528e141a36d3e0ce9cafbf588c34e6bdc73dcdea6cdc1,data/raw/trades.csv,5112,0xb07dbb5352741a2a705528e141a36d3e0ce9cafbf588c34e6bdc73dcdea6cdc1,17.95754,6.126,28.1796,23.0,5.179600000000001,0.21739130434782608,0.8030434782608695,,,,
2026-04-05__beijing__high,Beijing,2026-04-05,high,0x9212de326b10c219be151825f0575e6997771f7aac21fd85948c36335da06def,highest-temperature-in-beijing-on-april-5-2026,highest-temperature-in-beijing-on-april-5-2026-20c,50154875018612476846202703575007039237316003107042368831080496113341083426516,50154875018612476846202703575007039237316003107042368831080496113341083426516,20°C,exact,20.0,20.0,C,2026-04-05T05:41:11+00:00,2026-04-05T13:41:11+08:00,D0,D0_WARMING_CORE,SELL,0.87,6.4,5.568,usdcSize,0x2489fc0a48cf8958433641a6ae5c89f91baf37d5a33c24faa15d8e273185a80a,data/raw/trades.csv,5113,0x2489fc0a48cf8958433641a6ae5c89f91baf37d5a33c24faa15d8e273185a80a,17.95754,6.126,28.1796,29.4,-1.220399999999998,0.21739130434782608,0.8176190476190476,,,,
2026-04-05__beijing__high,Beijing,2026-04-05,high,0x417d06bc127f719cf07548aaad09819cec3d7bea16720d7c8d9685285ca8d041,highest-temperature-in-beijing-on-april-5-2026,highest-temperature-in-beijing-on-april-5-2026-21c,46378176533936676838978591057272071916665451734666991591155679041626452737921,46378176533936676838978591057272071916665451734666991591155679041626452737921,21°C,exact,21.0,21.0,C,2026-04-05T06:12:21+00:00,2026-04-05T14:12:21+08:00,D0,D0_LATE,SELL,0.8999985987,0.499543,0.449588,usdcSize,0x91828e40bd344f106dc57d32ec761876469fb9fc159d27373d4eecc236477a65,data/raw/trades.csv,5118,0x91828e40bd344f106dc57d32ec761876469fb9fc159d27373d4eecc236477a65,17.95754,11.83154,84.69416,0.499543,84.194617,0.13969723532295497,0.8999985987192293,,,,
2026-04-05__beijing__high,Beijing,2026-04-05,high,0x417d06bc127f719cf07548aaad09819cec3d7bea16720d7c8d9685285ca8d041,highest-temperature-in-beijing-on-april-5-2026,highest-temperature-in-beijing-on-april-5-2026-21c,46378176533936676838978591057272071916665451734666991591155679041626452737921,46378176533936676838978591057272071916665451734666991591155679041626452737921,21°C,exact,21.0,21.0,C,2026-04-05T06:12:45+00:00,2026-04-05T14:12:45+08:00,D0,D0_LATE,SELL,0.9,88.24,79.416,usdcSize,0xb46aa4156019d1f58995a4ad626bfcd4151458cf2430822d4d8bf3fc5baab596,data/raw/trades.csv,5119,0xb46aa4156019d1f58995a4ad626bfcd4151458cf2430822d4d8bf3fc5baab596,17.95754,11.83154,84.69416,88.739543,-4.045383000000001,0.13969723532295497,0.8999999921117466,,,,
