event_key,city,weather_date_local,weather_metric,condition_id,event_slug,slug,token_id,asset,temperature_bucket,bucket_kind,bucket_low,bucket_high,unit,public_record_timestamp_utc,public_record_timestamp_cst,relative_day,time_phase,side,price,shares,trade_usd,trade_usd_source,transaction_hash,source_file,source_row_number,raw_transaction_hash,cumulative_buy_usd_event,cumulative_buy_usd_bucket,cumulative_buy_shares_bucket,cumulative_sell_shares_bucket,remaining_shares_bucket,weighted_average_buy_price_bucket,weighted_average_sell_price_bucket,previous_buy_price_bucket,price_change_vs_previous_buy,price_change_vs_pretrade_weighted_average_cost,add_action_classification
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:25:00+00:00,2026-04-17T15:25:00+08:00,D0,D0_LATE,BUY,0.12,5.5,0.66,usdcSize,0xc33fe1576e17696c4190f99b03ee9e1d617d802e255180c88cd634f8c2efb4e3,data/raw/trades.csv,7079,0xc33fe1576e17696c4190f99b03ee9e1d617d802e255180c88cd634f8c2efb4e3,42.36,30.66,105.49999999999999,0.0,105.49999999999999,0.29061611374407587,,0.3,-0.18,-0.18000000000000005,PRICE_DOWN_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:25:30+00:00,2026-04-17T15:25:30+08:00,D0,D0_LATE,BUY,0.12,8.0,0.96,usdcSize,0x9fe9081ad1249acbdd1866c4a5e6b653f0332936b86f55b3c66fe612fb9acdd1,data/raw/trades.csv,7080,0x9fe9081ad1249acbdd1866c4a5e6b653f0332936b86f55b3c66fe612fb9acdd1,43.32,31.62,113.49999999999999,0.0,113.49999999999999,0.2785903083700441,,0.12,0.0,-0.17061611374407587,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:26:06+00:00,2026-04-17T15:26:06+08:00,D0,D0_LATE,BUY,0.12,3.21,0.3852,usdcSize,0x891c4203b0124da235daa756d8c1003714c6c5feb03a2e3524ab7a5a3f1be8a1,data/raw/trades.csv,7081,0x891c4203b0124da235daa756d8c1003714c6c5feb03a2e3524ab7a5a3f1be8a1,43.7052,32.0052,116.70999999999998,0.0,116.70999999999998,0.2742284294404936,,0.12,0.0,-0.15859030837004412,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:26:58+00:00,2026-04-17T15:26:58+08:00,D0,D0_LATE,BUY,0.12,52.05,6.246,usdcSize,0x94887962f8059fecff5103a14f8223778b2beded3f88641a597a7c3789260d2b,data/raw/trades.csv,7082,0x94887962f8059fecff5103a14f8223778b2beded3f88641a597a7c3789260d2b,49.9512,38.251200000000004,168.76,0.0,168.76,0.22666034605356725,,0.12,0.0,-0.1542284294404936,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0xe8f115451f2286a7184c07d4c25abe402de2ff9e2671e1d0132ddffa18ae737f,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-22c,7328057259970162614349489064923128908712327544826427788548166345001982631804,7328057259970162614349489064923128908712327544826427788548166345001982631804,22°C,exact,22.0,22.0,C,2026-04-17T07:28:14+00:00,2026-04-17T15:28:14+08:00,D0,D0_LATE,BUY,0.1,100.0,10.0,usdcSize,0x884fa2a9dd6192d9a9f27851b17309feda6fbb199dce34a8adeb98cc945509fd,data/raw/trades.csv,7083,0x884fa2a9dd6192d9a9f27851b17309feda6fbb199dce34a8adeb98cc945509fd,59.9512,21.7,123.67,0.0,123.67,0.17546696854532223,,0.468,-0.368,-0.394296577946768,PRICE_DOWN_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x1a212b841d0c8487c61f19a42921e8cf17496ecd01ce1816c81a26c9a61223b9,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-24c,42156238997149464554701415866645010189156008782184891643471277650262676155936,42156238997149464554701415866645010189156008782184891643471277650262676155936,24°C,exact,24.0,24.0,C,2026-04-17T07:28:16+00:00,2026-04-17T15:28:16+08:00,D0,D0_LATE,BUY,0.03,25.08,0.7524,usdcSize,0xea49a3040e5d761b3b0d953ac3c67712b3a2a69dc1b7a7cc67f416043a018176,data/raw/trades.csv,7084,0xea49a3040e5d761b3b0d953ac3c67712b3a2a69dc1b7a7cc67f416043a018176,60.7036,0.7524,25.08,0.0,25.08,0.03,,,,,NEW_BUCKET_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x1a212b841d0c8487c61f19a42921e8cf17496ecd01ce1816c81a26c9a61223b9,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-24c,42156238997149464554701415866645010189156008782184891643471277650262676155936,42156238997149464554701415866645010189156008782184891643471277650262676155936,24°C,exact,24.0,24.0,C,2026-04-17T07:28:20+00:00,2026-04-17T15:28:20+08:00,D0,D0_LATE,BUY,0.03,7.79,0.2337,usdcSize,0x2644a2daf373852a6a8280db9ebfe7d7ed6679f0e16ca02d13e59ef3be65ac2e,data/raw/trades.csv,7085,0x2644a2daf373852a6a8280db9ebfe7d7ed6679f0e16ca02d13e59ef3be65ac2e,60.9373,0.9861,32.87,0.0,32.87,0.030000000000000002,,0.03,0.0,0.0,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x1a212b841d0c8487c61f19a42921e8cf17496ecd01ce1816c81a26c9a61223b9,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-24c,42156238997149464554701415866645010189156008782184891643471277650262676155936,42156238997149464554701415866645010189156008782184891643471277650262676155936,24°C,exact,24.0,24.0,C,2026-04-17T07:28:20+00:00,2026-04-17T15:28:20+08:00,D0,D0_LATE,BUY,0.03,3.0,0.09,usdcSize,0xcfc094e980fc5453da677c42f845994af188d5f14ec7c9c4a2be85f51b6380a6,data/raw/trades.csv,7086,0xcfc094e980fc5453da677c42f845994af188d5f14ec7c9c4a2be85f51b6380a6,61.027300000000004,1.0761,35.87,0.0,35.87,0.030000000000000002,,0.03,0.0,-3.469446951953614e-18,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:28:28+00:00,2026-04-17T15:28:28+08:00,D0,D0_LATE,BUY,0.12,3.0,0.36,usdcSize,0x8557a2cbfc670ed75ea63757daf1173c7f8f41a7fac5bdc9ba105665a61db468,data/raw/trades.csv,7087,0x8557a2cbfc670ed75ea63757daf1173c7f8f41a7fac5bdc9ba105665a61db468,61.3873,38.611200000000004,171.76,0.0,171.76,0.22479739170936194,,0.12,0.0,-0.10666034605356725,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x1a212b841d0c8487c61f19a42921e8cf17496ecd01ce1816c81a26c9a61223b9,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-24c,42156238997149464554701415866645010189156008782184891643471277650262676155936,42156238997149464554701415866645010189156008782184891643471277650262676155936,24°C,exact,24.0,24.0,C,2026-04-17T07:28:32+00:00,2026-04-17T15:28:32+08:00,D0,D0_LATE,BUY,0.03,20.0,0.6,usdcSize,0x0035036d67e159c64e42bfcf76987efe965cac44d17e88180adb3f8939962815,data/raw/trades.csv,7088,0x0035036d67e159c64e42bfcf76987efe965cac44d17e88180adb3f8939962815,61.987300000000005,1.6761,55.87,0.0,55.87,0.03,,0.03,0.0,-3.469446951953614e-18,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x1a212b841d0c8487c61f19a42921e8cf17496ecd01ce1816c81a26c9a61223b9,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-24c,42156238997149464554701415866645010189156008782184891643471277650262676155936,42156238997149464554701415866645010189156008782184891643471277650262676155936,24°C,exact,24.0,24.0,C,2026-04-17T07:28:34+00:00,2026-04-17T15:28:34+08:00,D0,D0_LATE,BUY,0.03,44.13,1.3239,usdcSize,0x67d6e38b074487a290f4d82fe04eb625cb8622139a3675a6cd930471675e85c9,data/raw/trades.csv,7089,0x67d6e38b074487a290f4d82fe04eb625cb8622139a3675a6cd930471675e85c9,63.31120000000001,3.0,100.0,0.0,100.0,0.03,,0.03,0.0,0.0,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:33:18+00:00,2026-04-17T15:33:18+08:00,D0,D0_LATE,BUY,0.1,65.56,6.556,usdcSize,0xaa2bc64f5c2ab7895599a8c21f1da2c1192ec29f9d69ba5a444b7257b1e3e97a,data/raw/trades.csv,7091,0xaa2bc64f5c2ab7895599a8c21f1da2c1192ec29f9d69ba5a444b7257b1e3e97a,69.86720000000001,45.1672,237.32,0.0,237.32,0.1903219281982134,,0.12,-0.02,-0.12479739170936194,PRICE_DOWN_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0xe8f115451f2286a7184c07d4c25abe402de2ff9e2671e1d0132ddffa18ae737f,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-22c,7328057259970162614349489064923128908712327544826427788548166345001982631804,7328057259970162614349489064923128908712327544826427788548166345001982631804,22°C,exact,22.0,22.0,C,2026-04-17T07:36:06+00:00,2026-04-17T15:36:06+08:00,D0,D0_LATE,BUY,0.1,22.64188,2.264188,usdcSize,0x9abb57345dac650e418b68e796a31ffcb99fc4a528fd289d5e235bad00f3573c,data/raw/trades.csv,7092,0x9abb57345dac650e418b68e796a31ffcb99fc4a528fd289d5e235bad00f3573c,72.13138800000002,23.964188,146.31188,0.0,146.31188,0.16378839503668466,,0.1,0.0,-0.07546696854532223,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:36:08+00:00,2026-04-17T15:36:08+08:00,D0,D0_LATE,BUY,0.1,8.88888,0.888888,usdcSize,0xdd21bd6db564b411ce98538aa0bffd796881218112fc12ee480056850b6785f1,data/raw/trades.csv,7093,0xdd21bd6db564b411ce98538aa0bffd796881218112fc12ee480056850b6785f1,73.02027600000001,46.056088,246.20888,0.0,246.20888,0.18706103532902632,,0.1,0.0,-0.09032192819821339,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0xe8f115451f2286a7184c07d4c25abe402de2ff9e2671e1d0132ddffa18ae737f,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-22c,7328057259970162614349489064923128908712327544826427788548166345001982631804,7328057259970162614349489064923128908712327544826427788548166345001982631804,22°C,exact,22.0,22.0,C,2026-04-17T07:36:22+00:00,2026-04-17T15:36:22+08:00,D0,D0_LATE,BUY,0.1,25.0,2.5,usdcSize,0x23a31044a3f57f57ed2e4329b12f569fc114b7c501efef8035a1289713587707,data/raw/trades.csv,7094,0x23a31044a3f57f57ed2e4329b12f569fc114b7c501efef8035a1289713587707,75.52027600000001,26.464188,171.31188,0.0,171.31188,0.154479584253001,,0.1,0.0,-0.06378839503668465,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0xe8f115451f2286a7184c07d4c25abe402de2ff9e2671e1d0132ddffa18ae737f,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-22c,7328057259970162614349489064923128908712327544826427788548166345001982631804,7328057259970162614349489064923128908712327544826427788548166345001982631804,22°C,exact,22.0,22.0,C,2026-04-17T07:36:22+00:00,2026-04-17T15:36:22+08:00,D0,D0_LATE,BUY,0.1,13.0,1.3,usdcSize,0x40341f90ec42c4a038a8a97ff1c7ea067acc8303e6820e849032de7339b174df,data/raw/trades.csv,7095,0x40341f90ec42c4a038a8a97ff1c7ea067acc8303e6820e849032de7339b174df,76.820276,27.764188,184.31188,0.0,184.31188,0.15063699637809566,,0.1,0.0,-0.05447958425300101,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:36:32+00:00,2026-04-17T15:36:32+08:00,D0,D0_LATE,BUY,0.1,20.0,2.0,usdcSize,0x07e98c5911daf5b8f36e1fd31f96e884fe2152525d0bffcb4e795df0a245605e,data/raw/trades.csv,7096,0x07e98c5911daf5b8f36e1fd31f96e884fe2152525d0bffcb4e795df0a245605e,78.820276,48.056088,266.20888,0.0,266.20888,0.18052022907725693,,0.1,0.0,-0.08706103532902632,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0xe8f115451f2286a7184c07d4c25abe402de2ff9e2671e1d0132ddffa18ae737f,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-22c,7328057259970162614349489064923128908712327544826427788548166345001982631804,7328057259970162614349489064923128908712327544826427788548166345001982631804,22°C,exact,22.0,22.0,C,2026-04-17T07:36:54+00:00,2026-04-17T15:36:54+08:00,D0,D0_LATE,BUY,0.1,75.0,7.5,usdcSize,0x483a2e39ac6709285fb27f55f129cf1ef25a0f78c619644d42fe9888c3c1cd35,data/raw/trades.csv,7097,0x483a2e39ac6709285fb27f55f129cf1ef25a0f78c619644d42fe9888c3c1cd35,86.320276,35.264188000000004,259.31188,0.0,259.31188,0.13599140926362496,,0.1,0.0,-0.050636996378095656,PRICE_FLAT_ADD
2026-04-17__beijing__high,Beijing,2026-04-17,high,0x252747260d064cd141ee367416d9299782d838bdc47bdc3c3b529b666d615f34,highest-temperature-in-beijing-on-april-17-2026,highest-temperature-in-beijing-on-april-17-2026-23c,27701208381100469664000365459050433484511931667472767504009623310903022070502,27701208381100469664000365459050433484511931667472767504009623310903022070502,23°C,exact,23.0,23.0,C,2026-04-17T07:40:46+00:00,2026-04-17T15:40:46+08:00,D0,D0_LATE,SELL,0.1000727995,30.22,3.0242,usdcSize,0xab9bab557e98689dce8c207788bf4538eee7a6bb38397981bc5f21e3e09672e3,data/raw/trades.csv,7098,0xab9bab557e98689dce8c207788bf4538eee7a6bb38397981bc5f21e3e09672e3,86.320276,48.056088,266.20888,30.22,235.98888000000002,0.18052022907725693,0.10007279947054931,,,,
