wallet,weather_date,condition_id,asset,outcome,temperature_bucket,event_slug,buy_count,sell_count,buy_shares,sell_shares,sold_share_ratio,buy_usd_weighted_price,sell_usd_weighted_price,sell_minus_buy_price,first_buy_to_first_sell_seconds,last_buy_to_first_sell_seconds,buy_after_sell,same_hour_two_way
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-06,0x24d62d1077bdb66197a9f611de5113dd34ea9617bdfa53eec9da6104d2dedc13,46638911895947899584714998309930269929056736923815876183237811516155899658097,YES,25°C,highest-temperature-in-beijing-on-may-6-2026,2,6,250.01999999999998,250.02,1.0000000000000002,0.45507495400367975,0.6314892008639309,0.17641424686025114,362,-966,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-06,0x524ea73af3e8aa39825b9ea89501fa3c6411ae185ed342ce7f7b357d0321dc09,9437326432832047652803690471387689236956645786031021233620315309901952008178,NO,26°C,highest-temperature-in-beijing-on-may-6-2026,107,0,431.229375,0,0.0,0.038414920133861476,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-06,0x524ea73af3e8aa39825b9ea89501fa3c6411ae185ed342ce7f7b357d0321dc09,98294956512414206833583932065542207951884876594305456681972083705186473652668,YES,26°C,highest-temperature-in-beijing-on-may-6-2026,73,1,462.103332,30.85,0.06675996008615666,0.9547994841119215,0.985,0.030200515888078483,5560,-3658,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-07,0x64faeae756ff18a1c629a662ef9647dbffcc0d6f0e1040cb1fae594eeaaad9b3,100030401845158145758047770584203597624656677725418378057264736264046574201968,NO,25°C,highest-temperature-in-beijing-on-may-7-2026,4,0,30.58,0,0.0,0.004,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-07,0x64faeae756ff18a1c629a662ef9647dbffcc0d6f0e1040cb1fae594eeaaad9b3,9844283517588829535822198068888840811826162095553098909671713690806906662854,YES,25°C,highest-temperature-in-beijing-on-may-7-2026,4,0,30.58,0,0.0,0.9910000000000001,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-14,0x33b14a55836b32de407fc3145d6a0b11472b2d439ee3ca5cf696925c180cdfcc,68285337135628535724807023424812950307910842066517672867169068544603686828973,YES,38°C,highest-temperature-in-beijing-on-may-14-2026,4,0,32.581416,0,0.0,0.01414999888279871,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-14,0x9734e319ac355f8b5888554f3b13613706d2e4841e5ac4f16fd62be16e3aa88e,113991469714722319527323763760451142834431554490551947290270168025755736941038,YES,37°C,highest-temperature-in-beijing-on-may-14-2026,6,0,51.640458,0,0.0,0.02490336162394222,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-14,0xc46581a98bab98005be7791b8f775e3806763077e244d2c955af1ffea616d4c6,45318478066930538918302076725236151540196003056059945678068287823977848728852,YES,36°C,highest-temperature-in-beijing-on-may-14-2026,8,1,42.79,6.72,0.15704603879411078,0.04646880112175743,0.060000000000000005,0.013531198878242577,3409,-6778,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-15,0x0a0a2c2e0b1a5cb2a478aaa1059324f752060e1bffdc28c3bcc0a2d8af0c9a33,46919219596152938037717923999755202742383876660679459894395592129680611122817,YES,34°C,highest-temperature-in-beijing-on-may-15-2026,19,9,237.991076,237.991029,0.9999998025136035,0.02638356070124243,0.0230336371208345,-0.0033499235804079278,7683,-61290,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-15,0x361584ab94ee60edd21c7c413728c155db7bd532c3d221226d7e2a9f31c72190,51207008817872921168609952711706542923387205434540073149009863987695977111400,YES,33°C,highest-temperature-in-beijing-on-may-15-2026,20,10,120.200722,112.837775,0.9387445692713892,0.08304843626480046,0.058007329548991904,-0.02504110671580856,4384,-71454,True,4
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-15,0x6341a52a39e80043bb87670f8a1b6633c845c77a120e1802ec049ab4b6c31a0d,35777473566623739727453298019013397787203431322508769709727107057506994097424,YES,35°C,highest-temperature-in-beijing-on-may-15-2026,11,3,112.725114,112.72,0.9999546330021897,0.02070808285010916,0.01108543293115685,-0.009622649918952309,21015,-16510,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-15,0xa39eab14389b480884d75a567547525efb574eaf12a49eccbb1ed6ba97e1b02c,13283327349962731014006257259228641502967930256518995334429182730243944925721,YES,32°C,highest-temperature-in-beijing-on-may-15-2026,22,5,68.528341,38.433332,0.5608385003804485,0.13472633169391915,0.12011446210284345,-0.014611869591075702,11278,-27229,True,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-15,0xa44a582226793c793a30d1dfb210acd72a2b7fbab10424c5ec07d53476313c65,82472294151449516023001353381733073805113977827525327718569998576163665180172,YES,36°C,highest-temperature-in-beijing-on-may-15-2026,4,1,33.74,23.09,0.6843509187907527,0.014368701837581505,0.009,-0.005368701837581506,14710,-28485,True,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-16,0x11eb7a73bdee8a7b130bfb51d814f6a8795ddb06ed74264010ecbe68dad5564a,1995055765359316749012455069088450073824890639372955675394973650909545867350,YES,26°C,highest-temperature-in-beijing-on-may-16-2026,9,2,42.810514,30.585713,0.7144439564542486,0.07000000046717496,0.06999997024754663,-3.021962832749914e-08,8428,1386,False,1
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-16,0x4831268e7628b046035e25d223cdef683293bfcee03db7e7f138484401489e23,13895984240677113485884537702960912101420312972005763266192258918086085341931,YES,29°C,highest-temperature-in-beijing-on-may-16-2026,31,7,176.377853,146.99,0.8333812749155077,0.016719287313243347,0.015873256684128173,-0.0008460306291151742,32575,-89475,True,2
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-16,0x5734875ec622b7817a696fd9ff171c57012452dc3bbacbf423a929608de12807,84481202393039890916385235095706993178435244027247869577583616021164072142990,YES,27°C,highest-temperature-in-beijing-on-may-16-2026,5,0,30.81,0,0.0,0.05,,,,,False,0
0x7c63520c2ca9b336af0c205b9ccf68217bb393d4,2026-05-16,0x6501d09c0a81809d6a0b4beb3928747b6a93c6dcc82856eb21fecb7706147eca,71250037962535081421079178792497940641737975400781709665653176604690919889168,YES,28°C,highest-temperature-in-beijing-on-may-16-2026,22,6,124.989098,124.98,0.999927209651517,0.06148573053947473,0.03506873099695951,-0.026416999542515224,63655,-43550,True,2
