wallet,weather_date,condition_id,asset,outcome,temperature_bucket,event_slug,high_sell_fill_count,asset_exit_classification,all_buy_shares,all_sell_shares,sold_share_ratio,buy_usd_weighted_price,sell_usd_weighted_price
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-10,0xa543a19b264077ef1a26a632c58500c93f29a5ccab0b4e8f0323b681e3ef3d10,86018233340433213187213926201442374837800177722482607054761432623861433614833,YES,27°C or below,highest-temperature-in-beijing-on-july-10-2026,1,HAS_NEAR_FULL,468.00550100000004,468.0,0.999988245864657,0.14122762415991344,0.9979002136752136
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-11,0x88fd3d0fb536e2a593c1eb75ec13c838ffb4193cf77b0d68f820f803b1d09bfd,14863342124646821629675644586739462743432409305773531662511208160344934804629,YES,29°C,highest-temperature-in-beijing-on-july-11-2026,1,HAS_NEAR_FULL,131.79,131.79,1.0,0.1736266788071933,0.9979002200470446
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-12,0x5ce7e7263af4ae934711a27555c8907fb759d9786dd0d871057644c57051ffdc,105763729642734904494038915656578713706227457010973089712626667590763424877549,YES,31°C,highest-temperature-in-beijing-on-july-12-2026,1,ALL_PARTIAL,120.51999500000001,77.53,0.6432957452412772,0.2298763703068524,0.9980357281052494
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-13,0x72f4f8ed421d7d879fc70712fa183963b5042a46612199f0eaabbadec7d1c20d,87694998098983509239426853007632659993135791950289332637822693704560697976728,YES,34°C,highest-temperature-in-beijing-on-july-13-2026,1,ALL_PARTIAL,135.547212,100.8,0.7436523297874986,0.33337858693840194,0.9979002976190477
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-14,0x039792a2ee36fdd03cbdd64a2c5f036053252be570d9c76788e79d042f18ffa0,30848104240192580953141839431778873784002560575167603329994045382043077206350,YES,33°C,highest-temperature-in-beijing-on-july-14-2026,2,MIXED_EXIT_PATTERN,468.479776,468.46999999999997,0.9999791325036835,0.18898710795148602,0.9979002284030994
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-16,0x4ccf620a3af4ecccbe4d5a1a9e7c6ead7504795d1dcdabb3ae7004d3b315f91d,115031478573264603628654827297115437834272069792650868551532444177433086712550,YES,34°C,highest-temperature-in-beijing-on-july-16-2026,1,ALL_PARTIAL,152.25,139.93,0.919080459770115,0.21120919540229882,0.9979002358322018
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-17,0xc363e4684df7de0839888317ddd89a5196fb04b82ecaaa4aa60285f03afa40ce,107183801066140066539179849253716737087030714166299848948471849050768751831373,YES,31°C,highest-temperature-in-beijing-on-july-17-2026,6,MIXED_EXIT_PATTERN,993.185263,993.1800000000001,0.9999947008879451,0.0927464134151173,0.9983914496868644
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-18,0xa286d7efb4382915d9c8caa8b4861451e12cb9accbc6ed23bbc76bcc59fea41b,112464304963925219675063219955940944066790435091128317955075619477892578000172,YES,31°C,highest-temperature-in-beijing-on-july-18-2026,1,ALL_PARTIAL,67.9,44.95,0.6620029455081001,0.30281296023564064,0.9979003337041157
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-19,0xbe30f2934595fc69c437273b3699a60d04e3a82cb30aa5ac511d3cc83917523c,74991365488587980414962624211547614441596541191800886044801408882069272670394,YES,33°C,highest-temperature-in-beijing-on-july-19-2026,2,ALL_PARTIAL,155.52,140.62,0.9041923868312757,0.24079668209876542,0.9989128146778551
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-20,0x4c9a2d97a177e6a7bf27cfa24f412b2ecda474ac9e03d54f075b6d4ae06eea14,100847548602377340804279691332109960606289297755739344911151928652116854830882,YES,30°C,highest-temperature-in-beijing-on-july-20-2026,2,ALL_PARTIAL,205.804048,178.6,0.867815777850978,0.19435408772911988,0.9981085666293393
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-21,0x0106f9f02272a568c65a27f2ea9bb0df767dc5840543c1ec8840692b09c45114,29529304572651035093974664400766060594208294971749665310571545963371691420441,YES,32°C,highest-temperature-in-beijing-on-july-21-2026,1,HAS_NEAR_FULL,291.804123,291.8,0.9999858706588598,0.11975200912428506,0.9979002056202878
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-22,0x4f3630870488d366fc54f1a200a345253e093f988d87d5dde225ef536c095f36,33714988870830149993627715683353624019871510137573269234661070391211176066263,YES,28°C,highest-temperature-in-beijing-on-july-22-2026,1,ALL_PARTIAL,147.32425,61.13,0.41493508366748855,0.23416299760562162,0.9979002126615409
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-23,0x65ff01712018a6bbe741a3d7c04967eee484ae1924c56cf8b3ad24ed945a1ebe,45207246772729247798722074500757080282820221990843379570571379101468161012626,YES,28°C,highest-temperature-in-beijing-on-july-23-2026,3,MIXED_EXIT_PATTERN,352.766335,352.76,0.9999820419371932,0.15336884966645128,0.9979002721396983
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-28,0xba0edac5d95406929625d66be0ed15d0c2d6111cf069a552e56ddab3e1a796c6,30819121435878052668874306290558932744967586560672611169814775633670161538933,YES,35°C,highest-temperature-in-beijing-on-july-28-2026,2,MIXED_EXIT_PATTERN,409.86,409.86,1.0,0.31934850924706,0.9989244620114186
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-29,0xce885c0ccadd2c87e079f113e401f00f66e03abfdbde2ae966ddc81e30993a7c,88370672710239899413587967168747249215956287478966027911724705173079921726748,YES,35°C,highest-temperature-in-beijing-on-july-29-2026,2,ALL_PARTIAL,254.502824,111.39999999999999,0.43771616459548596,0.3340085766592515,0.9979003590664274
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-30,0x0db68389519376349c25b967bbff44260bba8bc1241554748c21c93ddb913026,84614087306496951078700280080059316405378136245878187028222987614702007521463,YES,35°C,highest-temperature-in-beijing-on-july-30-2026,2,MIXED_EXIT_PATTERN,441.727691,441.72,0.9999825888207675,0.32363228729529664,0.9979002082767362
0x8fbd7cf5f806f563080864694415829f7229a959,2026-08-01,0xbd82bbf250a42f9a6a6f35ba61069462ef3c4f29469a63a88a7ac3b7eb172846,16965443463146400687539218410880436586787279682503322483556606534661067919109,YES,36°C,highest-temperature-in-beijing-on-august-1-2026,3,MIXED_EXIT_PATTERN,773.8988459999999,773.89,0.999988569565589,0.05360384010703125,0.9979002312990218
0x8fbd7cf5f806f563080864694415829f7229a959,2026-08-02,0xe753ea1406d3b5080f4ad339a36ca49a33ad417a58c6a22d0d236c5523a58e22,80406930717152445776761104406390160286641697275565209096357835061122335987605,YES,35°C,highest-temperature-in-beijing-on-august-2-2026,2,MIXED_EXIT_PATTERN,415.36690600000003,415.36,0.9999833737356052,0.2535823617108292,0.9979002311248074
0x8fbd7cf5f806f563080864694415829f7229a959,2026-08-03,0x2805b7368be0ad9bec03edd2675b4b6fed9ca4a6eae4f36308e763ec61eda588,106287288353752676541590878526536079604722728259585654624855164693638610432596,YES,36°C,highest-temperature-in-beijing-on-august-3-2026,1,HAS_NEAR_FULL,44.0,44.0,1.0,0.24831090909090908,0.9989502272727272
