wallet,weather_date,condition_id,asset,outcome,temperature_bucket,event_slug,sell_timestamp,sell_price,sell_shares,cumulative_buy_shares_before,cumulative_sell_shares_before,observed_net_inventory_before,sell_to_observed_inventory_ratio,observed_exit_classification,has_prior_any_buy,has_prior_low_0_30_buy,first_any_buy_to_this_high_sell_seconds,first_low_buy_to_this_high_sell_seconds
0x8fbd7cf5f806f563080864694415829f7229a959,2026-06-26,0x75d5fefcf62523f028fd864c8202f068b0f1380daf6a2ca8d128c6a1317a4b1b,17669823622989889186062253385534535677172566528713180896556824944656035832439,YES,34°C,highest-temperature-in-beijing-on-june-26-2026,2026-06-26T17:52:28+08:00,0.9976297393,847.97,847.9789550000002,0.0,847.9789550000002,0.9999894395964106,NEAR_FULL_OBSERVED_EXIT,True,True,94455,94455
0x8fbd7cf5f806f563080864694415829f7229a959,2026-06-30,0x343e67d5b603958e16020a9b97e4dd441662cd1ede0bbf23fcdfaa1cca069199,101327604660363478165747299662132031244788579714289952251498871531003610683140,YES,30°C,highest-temperature-in-beijing-on-june-30-2026,2026-06-30T17:54:13+08:00,0.9944999387,1224.15,2582.9999999999995,0.0,2582.9999999999995,0.47392566782810697,PARTIAL_OBSERVED_EXIT,True,True,189563,189563
0x8fbd7cf5f806f563080864694415829f7229a959,2026-06-30,0x343e67d5b603958e16020a9b97e4dd441662cd1ede0bbf23fcdfaa1cca069199,101327604660363478165747299662132031244788579714289952251498871531003610683140,YES,30°C,highest-temperature-in-beijing-on-june-30-2026,2026-06-30T18:53:37+08:00,0.9977411332,1274.13,2582.9999999999995,1224.15,1358.8499999999995,0.9376531626007291,PARTIAL_OBSERVED_EXIT,True,True,193127,193127
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-01,0x6990429d9b745f0473220ea910d48e8fec57ac86376fe4d1fc5443aec10a624f,30342911746261000464792165131679218237142238915367827761749945070895577692681,YES,31°C,highest-temperature-in-beijing-on-july-1-2026,2026-07-01T17:20:56+08:00,0.998,448.09,448.09648599999997,0.0,448.09648599999997,0.9999855254388226,NEAR_FULL_OBSERVED_EXIT,True,False,103857,
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-02,0x5ac9cdf0cd272cd14c02389995a13bad3f54f2693ab3fa4631f33424c4416395,80004434619106904539250409021947220678603332135302604062478080973140820376985,YES,34°C,highest-temperature-in-beijing-on-july-2-2026,2026-07-02T17:16:08+08:00,0.999,217.33,298.97359200000005,0.0,298.97359200000005,0.7269203896777612,PARTIAL_OBSERVED_EXIT,True,True,151932,151932
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-03,0xddbddaa2f21d327508a17ad4012c8ed0c818fc8eff91a231e95e9fe2ee4a8a69,51404124856274899619153967245937664642066636343511277240733143482919124658676,YES,35°C,highest-temperature-in-beijing-on-july-3-2026,2026-07-03T18:57:52+08:00,0.999,481.26,481.26185699999996,0.0,481.26185699999996,0.9999961413937694,NEAR_FULL_OBSERVED_EXIT,True,True,138053,138053
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-09,0x89f068c5dc75b6bd302e0209440915cef6ea8e617ba16d46b3f59af7189deb63,74178217614406732095357226259131316211258227479245113057766609557130592613909,YES,35°C,highest-temperature-in-beijing-on-july-9-2026,2026-07-09T17:06:23+08:00,0.998,200.0,368.71750699999996,0.0,368.71750699999996,0.5424206776273306,PARTIAL_OBSERVED_EXIT,True,True,111957,111957
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-09,0x89f068c5dc75b6bd302e0209440915cef6ea8e617ba16d46b3f59af7189deb63,74178217614406732095357226259131316211258227479245113057766609557130592613909,YES,35°C,highest-temperature-in-beijing-on-july-9-2026,2026-07-09T17:10:02+08:00,0.998,168.71,368.71750699999996,200.0,168.71750699999996,0.9999555055066103,NEAR_FULL_OBSERVED_EXIT,True,True,112176,112176
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-10,0xa543a19b264077ef1a26a632c58500c93f29a5ccab0b4e8f0323b681e3ef3d10,86018233340433213187213926201442374837800177722482607054761432623861433614833,YES,27°C or below,highest-temperature-in-beijing-on-july-10-2026,2026-07-10T16:34:16+08:00,0.998,468.0,468.00550100000004,0.0,468.00550100000004,0.999988245864657,NEAR_FULL_OBSERVED_EXIT,True,True,182520,182520
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-11,0x88fd3d0fb536e2a593c1eb75ec13c838ffb4193cf77b0d68f820f803b1d09bfd,14863342124646821629675644586739462743432409305773531662511208160344934804629,YES,29°C,highest-temperature-in-beijing-on-july-11-2026,2026-07-11T17:00:14+08:00,0.998,131.79,131.79000000000002,0.0,131.79000000000002,0.9999999999999998,NEAR_FULL_OBSERVED_EXIT,True,True,16026,12135
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-12,0x5ce7e7263af4ae934711a27555c8907fb759d9786dd0d871057644c57051ffdc,105763729642734904494038915656578713706227457010973089712626667590763424877549,YES,31°C,highest-temperature-in-beijing-on-july-12-2026,2026-07-12T17:36:20+08:00,0.9981289823,77.53,120.519995,0.0,120.519995,0.6432957452412772,PARTIAL_OBSERVED_EXIT,True,True,135973,135973
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-13,0x72f4f8ed421d7d879fc70712fa183963b5042a46612199f0eaabbadec7d1c20d,87694998098983509239426853007632659993135791950289332637822693704560697976728,YES,34°C,highest-temperature-in-beijing-on-july-13-2026,2026-07-13T17:46:04+08:00,0.998,100.8,135.547212,0.0,135.547212,0.7436523297874986,PARTIAL_OBSERVED_EXIT,True,True,93885,93885
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-14,0x039792a2ee36fdd03cbdd64a2c5f036053252be570d9c76788e79d042f18ffa0,30848104240192580953141839431778873784002560575167603329994045382043077206350,YES,33°C,highest-temperature-in-beijing-on-july-14-2026,2026-07-14T16:37:35+08:00,0.998,391.52,468.479776,0.0,468.479776,0.8357244433108676,PARTIAL_OBSERVED_EXIT,True,True,145038,145038
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-14,0x039792a2ee36fdd03cbdd64a2c5f036053252be570d9c76788e79d042f18ffa0,30848104240192580953141839431778873784002560575167603329994045382043077206350,YES,33°C,highest-temperature-in-beijing-on-july-14-2026,2026-07-14T16:40:02+08:00,0.998,76.95,468.479776,391.52,76.95977600000003,0.9998729726032463,NEAR_FULL_OBSERVED_EXIT,True,True,145185,145185
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-16,0x4ccf620a3af4ecccbe4d5a1a9e7c6ead7504795d1dcdabb3ae7004d3b315f91d,115031478573264603628654827297115437834272069792650868551532444177433086712550,YES,34°C,highest-temperature-in-beijing-on-july-16-2026,2026-07-16T16:41:31+08:00,0.998,139.93,152.25,0.0,152.25,0.919080459770115,PARTIAL_OBSERVED_EXIT,True,True,187752,187752
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-17,0xc363e4684df7de0839888317ddd89a5196fb04b82ecaaa4aa60285f03afa40ce,107183801066140066539179849253716737087030714166299848948471849050768751831373,YES,31°C,highest-temperature-in-beijing-on-july-17-2026,2026-07-17T17:44:15+08:00,0.999,272.68,993.1852630000003,0.0,993.1852630000003,0.27455099280908274,PARTIAL_OBSERVED_EXIT,True,True,76997,76997
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-17,0xc363e4684df7de0839888317ddd89a5196fb04b82ecaaa4aa60285f03afa40ce,107183801066140066539179849253716737087030714166299848948471849050768751831373,YES,31°C,highest-temperature-in-beijing-on-july-17-2026,2026-07-17T18:12:48+08:00,0.998,155.63,993.1852630000003,272.68,720.5052630000002,0.2160011980370502,PARTIAL_OBSERVED_EXIT,True,True,78710,78710
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-17,0xc363e4684df7de0839888317ddd89a5196fb04b82ecaaa4aa60285f03afa40ce,107183801066140066539179849253716737087030714166299848948471849050768751831373,YES,31°C,highest-temperature-in-beijing-on-july-17-2026,2026-07-17T18:32:40+08:00,0.999,192.03,993.1852630000003,428.31,564.8752630000004,0.3399511583852095,PARTIAL_OBSERVED_EXIT,True,True,79902,79902
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-17,0xc363e4684df7de0839888317ddd89a5196fb04b82ecaaa4aa60285f03afa40ce,107183801066140066539179849253716737087030714166299848948471849050768751831373,YES,31°C,highest-temperature-in-beijing-on-july-17-2026,2026-07-17T18:48:48+08:00,0.998,10.0,993.1852630000003,620.34,372.8452630000003,0.026820777926847342,PARTIAL_OBSERVED_EXIT,True,True,80870,80870
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-17,0xc363e4684df7de0839888317ddd89a5196fb04b82ecaaa4aa60285f03afa40ce,107183801066140066539179849253716737087030714166299848948471849050768751831373,YES,31°C,highest-temperature-in-beijing-on-july-17-2026,2026-07-17T18:51:18+08:00,0.998,160.3,993.1852630000003,630.34,362.8452630000003,0.4417861175164354,PARTIAL_OBSERVED_EXIT,True,True,81020,81020
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-17,0xc363e4684df7de0839888317ddd89a5196fb04b82ecaaa4aa60285f03afa40ce,107183801066140066539179849253716737087030714166299848948471849050768751831373,YES,31°C,highest-temperature-in-beijing-on-july-17-2026,2026-07-17T19:09:54+08:00,0.998,202.54,993.1852630000003,790.6400000000001,202.5452630000002,0.999974015684582,NEAR_FULL_OBSERVED_EXIT,True,True,82136,82136
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-18,0xa286d7efb4382915d9c8caa8b4861451e12cb9accbc6ed23bbc76bcc59fea41b,112464304963925219675063219955940944066790435091128317955075619477892578000172,YES,31°C,highest-temperature-in-beijing-on-july-18-2026,2026-07-18T16:14:15+08:00,0.998,44.95,67.9,0.0,67.9,0.6620029455081001,PARTIAL_OBSERVED_EXIT,True,True,150839,150839
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-19,0xbe30f2934595fc69c437273b3699a60d04e3a82cb30aa5ac511d3cc83917523c,74991365488587980414962624211547614441596541191800886044801408882069272670394,YES,33°C,highest-temperature-in-beijing-on-july-19-2026,2026-07-19T17:20:01+08:00,0.998,5.0,155.52,0.0,155.52,0.03215020576131687,PARTIAL_OBSERVED_EXIT,True,True,163549,163549
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-19,0xbe30f2934595fc69c437273b3699a60d04e3a82cb30aa5ac511d3cc83917523c,74991365488587980414962624211547614441596541191800886044801408882069272670394,YES,33°C,highest-temperature-in-beijing-on-july-19-2026,2026-07-19T17:26:18+08:00,0.999,135.62,155.52,5.0,150.52,0.9010098325803879,PARTIAL_OBSERVED_EXIT,True,True,163926,163926
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-20,0x4c9a2d97a177e6a7bf27cfa24f412b2ecda474ac9e03d54f075b6d4ae06eea14,100847548602377340804279691332109960606289297755739344911151928652116854830882,YES,30°C,highest-temperature-in-beijing-on-july-20-2026,2026-07-20T15:31:48+08:00,0.998,143.16,205.804048,0.0,205.804048,0.6956131397376596,PARTIAL_OBSERVED_EXIT,True,True,181071,181071
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-20,0x4c9a2d97a177e6a7bf27cfa24f412b2ecda474ac9e03d54f075b6d4ae06eea14,100847548602377340804279691332109960606289297755739344911151928652116854830882,YES,30°C,highest-temperature-in-beijing-on-july-20-2026,2026-07-20T15:39:09+08:00,0.999,35.44,205.804048,143.16,62.644048,0.5657361095183376,PARTIAL_OBSERVED_EXIT,True,True,181512,181512
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-21,0x0106f9f02272a568c65a27f2ea9bb0df767dc5840543c1ec8840692b09c45114,29529304572651035093974664400766060594208294971749665310571545963371691420441,YES,32°C,highest-temperature-in-beijing-on-july-21-2026,2026-07-21T17:51:42+08:00,0.998,291.8,291.804123,0.0,291.804123,0.9999858706588598,NEAR_FULL_OBSERVED_EXIT,True,True,23769,23769
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-22,0x4f3630870488d366fc54f1a200a345253e093f988d87d5dde225ef536c095f36,33714988870830149993627715683353624019871510137573269234661070391211176066263,YES,28°C,highest-temperature-in-beijing-on-july-22-2026,2026-07-22T18:02:22+08:00,0.998,61.13,147.32425,0.0,147.32425,0.41493508366748855,PARTIAL_OBSERVED_EXIT,True,True,116146,116146
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-23,0x65ff01712018a6bbe741a3d7c04967eee484ae1924c56cf8b3ad24ed945a1ebe,45207246772729247798722074500757080282820221990843379570571379101468161012626,YES,28°C,highest-temperature-in-beijing-on-july-23-2026,2026-07-23T18:40:37+08:00,0.998,5.48,352.76633499999997,0.0,352.76633499999997,0.01553436214371193,PARTIAL_OBSERVED_EXIT,True,True,80011,80011
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-23,0x65ff01712018a6bbe741a3d7c04967eee484ae1924c56cf8b3ad24ed945a1ebe,45207246772729247798722074500757080282820221990843379570571379101468161012626,YES,28°C,highest-temperature-in-beijing-on-july-23-2026,2026-07-23T18:50:51+08:00,0.998,244.38,352.76633499999997,5.48,347.28633499999995,0.7036844683220836,PARTIAL_OBSERVED_EXIT,True,True,80625,80625
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-23,0x65ff01712018a6bbe741a3d7c04967eee484ae1924c56cf8b3ad24ed945a1ebe,45207246772729247798722074500757080282820221990843379570571379101468161012626,YES,28°C,highest-temperature-in-beijing-on-july-23-2026,2026-07-23T18:58:34+08:00,0.998,102.9,352.76633499999997,249.85999999999999,102.90633499999998,0.9999384391641197,NEAR_FULL_OBSERVED_EXIT,True,True,81088,81088
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-28,0xba0edac5d95406929625d66be0ed15d0c2d6111cf069a552e56ddab3e1a796c6,30819121435878052668874306290558932744967586560672611169814775633670161538933,YES,35°C,highest-temperature-in-beijing-on-july-28-2026,2026-07-28T17:50:17+08:00,0.998,10.0,409.86,0.0,409.86,0.024398575123212803,PARTIAL_OBSERVED_EXIT,True,True,171077,171077
0x8fbd7cf5f806f563080864694415829f7229a959,2026-07-28,0xba0edac5d95406929625d66be0ed15d0c2d6111cf069a552e56ddab3e1a796c6,30819121435878052668874306290558932744967586560672611169814775633670161538933,YES,35°C,highest-temperature-in-beijing-on-july-28-2026,2026-07-28T17:52:53+08:00,0.999,399.86,409.86,10.0,399.86,1.0,NEAR_FULL_OBSERVED_EXIT,True,True,171233,171233
