rule_id,rule_family,rule_description,split,price_scenario,haircut,group_type,group,positions,events,cities,price_bins,buy_usd,net_pnl,roi_on_buy_usd,win_rate,median_pnl,median_roi,max_single_loss,top1_profit_share_of_net,top5_profit_share_of_net,top10_profit_share_of_net,leave_top1_out_net_pnl,leave_top5_out_net_pnl,weather_date_sequence_drawdown,delta_vs_hold_pnl,saved_loser_to_profit_count,roundtrip_2x_loss_improved_count,roundtrip_2x_loss_saved_to_profit_count,premature_correct_sell_loss_count,premature_correct_sell_loss_usd,max_city_abs_pnl_share,max_price_bin_abs_pnl_share
actual_huskyvs_exit,baseline,huskyvs实际退出结果,validation,haircut_0_8,0.8,all_yes,all_yes,998,456,41,6,16372.431303350348,6609.684503,0.4037081836249597,0.1372745490981964,-5.30495,-0.9999463271714454,-168.4104,0.11867476679771564,0.48893129339731817,0.8009886093045794,5825.281736000001,3378.00291,722.792942,-0.2954846496530011,30,383,21,65,2974.8297349702525,0.14170033302952256,0.3479914810081127
actual_huskyvs_exit,baseline,huskyvs实际退出结果,validation,haircut_0_9,0.9,all_yes,all_yes,998,456,41,6,16372.431303350348,6609.684503,0.4037081836249597,0.1372745490981964,-5.30495,-0.9999463271714454,-168.4104,0.11867476679771564,0.48893129339731817,0.8009886093045794,5825.281736000001,3378.00291,722.792942,-0.2954846496530011,30,442,23,65,2974.8297349702525,0.14170033302952256,0.3479914810081127
actual_huskyvs_exit,baseline,huskyvs实际退出结果,validation,sampled_1_0,1.0,all_yes,all_yes,998,456,41,6,16372.431303350348,6609.684503,0.4037081836249597,0.1372745490981964,-5.30495,-0.9999463271714454,-168.4104,0.11867476679771564,0.48893129339731817,0.8009886093045794,5825.281736000001,3378.00291,722.792942,-0.2954846496530011,30,496,25,65,2974.8297349702525,0.14170033302952256,0.3479914810081127
combo_2x_sell50_hold,combo_take_profit,2x卖50%，剩余持有结算,validation,haircut_0_8,0.8,all_yes,all_yes,998,456,41,6,16372.431303350348,4170.942748916254,0.2547540234945276,0.36773547094188375,-2.9845600046614997,-0.9623326258186459,-340.113900006208,0.1570766839646198,0.6342001718228326,1.0706905269810019,3515.784892910213,1525.7301408903677,1385.3935921198668,-2439.0372387333996,252,392,252,109,6309.7076852552,0.13021548584583226,0.402078043790768
combo_2x_sell50_hold,combo_take_profit,2x卖50%，剩余持有结算,validation,haircut_0_9,0.9,all_yes,all_yes,998,456,41,6,16372.431303350348,5134.412898237579,0.31360112637558635,0.4188376753507014,-2.25725000569,-0.652391340329212,-340.113900006208,0.12770741971903257,0.5311908005954347,0.9047342849641884,4478.710275231538,2407.0600002352335,1372.0801695228167,-1475.5670894120744,303,450,303,111,6082.070021369849,0.13389152434445892,0.3705503917930534
combo_2x_sell50_hold,combo_take_profit,2x卖50%，剩余持有结算,validation,sampled_1_0,1.0,all_yes,all_yes,998,456,41,6,16372.431303350348,7201.580997626654,0.4398602055000206,0.4408817635270541,-1.6244774968039999,-0.4114093380560865,-168.41334300134858,0.09851045211505981,0.40641502705948124,0.7030746657115804,6492.149997607228,4274.7502616051715,875.2495747409785,591.6010099770003,325,514,325,113,5342.549179224499,0.11448660386828988,0.291037877732974
combo_3x_sell50_hold,combo_take_profit,3x卖50%，剩余持有结算,validation,haircut_0_8,0.8,all_yes,all_yes,998,456,41,6,16372.431303350348,4675.843990613454,0.2855925246518896,0.2995991983967936,-4.193093499985367,-1.0,-340.113900006208,0.13136841632281163,0.5556467250065421,0.9671593300950406,4061.5857705940284,2077.7265905875674,1365.4870262219029,-1934.1359970361991,184,232,184,93,5290.6073591188,0.10925055733687462,0.38476038471690466
combo_3x_sell50_hold,combo_take_profit,3x卖50%，剩余持有结算,validation,haircut_0_9,0.9,all_yes,all_yes,998,456,41,6,16372.431303350348,5611.963793787829,0.34276911533838184,0.34168336673346694,-3.603799997606,-1.0,-340.113900006208,0.09611309575697245,0.4374306983503405,0.7838856056297477,5072.580580290837,3157.1185523543927,1316.8327161649522,-998.0161938618246,226,284,226,98,5235.77436704275,0.1164520976176042,0.3402267828938034
combo_3x_sell50_hold,combo_take_profit,3x卖50%，剩余持有结算,validation,sampled_1_0,1.0,all_yes,all_yes,998,456,41,6,16372.431303350348,6358.5819184156535,0.3883712687873349,0.3637274549098196,-3.1229605019999997,-1.0,-340.113900006208,0.08531537974306086,0.3854878728426656,0.6953898559905273,5816.097087418661,3907.4257003897674,1231.7859927602526,-251.39806923399928,248,323,248,102,5151.965772900249,0.10857693995879862,0.31889939878430534
hold_to_settlement,baseline,完全不卖，持有到结算,validation,haircut_0_8,0.8,all_yes,all_yes,998,456,41,6,16372.431303350348,6609.979987649653,0.4037262313201479,0.11523046092184369,-6.402501499744193,-1.0,-340.113900006208,0.11879105026990298,0.551116074152248,0.9588412507821612,5824.77352265371,2967.113766631252,1217.0652629785025,0.0,0,0,0,0,0,0.1258129833950073,0.31669279415970025
hold_to_settlement,baseline,完全不卖，持有到结算,validation,haircut_0_9,0.9,all_yes,all_yes,998,456,41,6,16372.431303350348,6609.979987649653,0.4037262313201479,0.11523046092184369,-6.402501499744193,-1.0,-340.113900006208,0.11879105026990298,0.551116074152248,0.9588412507821612,5824.77352265371,2967.113766631252,1217.0652629785025,0.0,0,0,0,0,0,0.1258129833950073,0.31669279415970025
hold_to_settlement,baseline,完全不卖，持有到结算,validation,sampled_1_0,1.0,all_yes,all_yes,998,456,41,6,16372.431303350348,6609.979987649653,0.4037262313201479,0.11523046092184369,-6.402501499744193,-1.0,-340.113900006208,0.11879105026990298,0.551116074152248,0.9588412507821612,5824.77352265371,2967.113766631252,1217.0652629785025,0.0,0,0,0,0,0,0.1258129833950073,0.31669279415970025
ladder_1_5x25_2x25_3x25_hold,ladder_take_profit,1.5x卖25%，2x再卖25%，3x再卖25%，剩余持有结算,validation,haircut_0_8,0.8,all_yes,all_yes,998,456,41,6,16372.431303350348,4229.841423064498,0.25835145340930094,0.312625250501002,-2.8928100059089994,-0.5913533263964585,-213.41036000620798,0.12803460717613932,0.6064668470874659,1.01429783580092,3688.2753380450727,1664.5828315386116,1281.840648966385,-2380.1385645851556,197,406,197,113,7216.931862169462,0.1262736006188874,0.4111912649168676
ladder_1_5x25_2x25_3x25_hold,ladder_take_profit,1.5x卖25%，2x再卖25%，3x再卖25%，剩余持有结算,validation,haircut_0_9,0.9,all_yes,all_yes,998,456,41,6,16372.431303350348,5116.559055205401,0.3125106442900989,0.35971943887775554,-2.1969999914500002,-0.5328623765939942,-212.73640500620797,0.10270822054340964,0.48988491409345486,0.8363685847518114,4591.046379339985,2610.0339619920146,1233.3326365579715,-1493.4209324442518,244,474,244,115,7125.394535210429,0.12984556386204563,0.3796071637620903
