buy_usd_for_closed_positions,closed_positions_with_authoritative_pnl,entry_basis,lead_bin,mean_realized_pnl,median_realized_pnl,outcome_filter,positions,realized_pnl_sum,roi_on_buy_usd,win_rate
1.0,1,capital_weighted_entry,after_proxy_cutoff,-1.0,-1.0,all_outcomes,2,-1.0,-1.0,0.0
4633.6828343683255,188,capital_weighted_entry,0-6h,9.455394659574468,-0.197085,all_outcomes,279,1777.614196,0.38362880230285085,0.4734042553191489
11019.342255754158,537,capital_weighted_entry,6-12h,13.07779335009311,-0.50531,all_outcomes,927,7022.775029,0.6373134499323495,0.44320297951582865
18359.868776936768,676,capital_weighted_entry,12-24h,19.492413100591715,-0.0633765,all_outcomes,1222,13176.871256,0.7176996424153355,0.48520710059171596
14157.757575561129,563,capital_weighted_entry,24-48h,26.85822810301954,0.2391,all_outcomes,1074,15121.182422,1.0680492543608684,0.5257548845470693
2505.035376174328,83,capital_weighted_entry,48-72h,6.283274843373494,-0.460729,all_outcomes,120,521.511812,0.20818540806255958,0.3855421686746988
269.47873767865616,22,capital_weighted_entry,72-168h,12.762684045454545,0.603034,all_outcomes,30,280.779049,1.0419339626520703,0.5454545454545454
0.0,9,capital_weighted_entry,unknown,-0.5970216666666667,0.0,all_outcomes,9,-5.373195,nan,0.2222222222222222
1.0,1,first_entry,after_proxy_cutoff,-1.0,-1.0,all_outcomes,2,-1.0,-1.0,0.0
3950.3330482999017,167,first_entry,0-6h,8.351784353293413,-0.1122,all_outcomes,244,1394.747987,0.3530709866602907,0.48502994011976047
10575.382321518797,514,first_entry,6-12h,11.977032659533075,-0.490375,all_outcomes,881,6156.194787,0.5821250333875277,0.4377431906614786
16901.74706194448,645,first_entry,12-24h,17.24432481860465,-0.09699,all_outcomes,1169,11122.589508,0.6580733617202995,0.4821705426356589
13726.562618735396,599,first_entry,24-48h,28.999875031719533,0.25854,all_outcomes,1145,17370.925144,1.265497096868987,0.5258764607679466
4838.796248152852,110,first_entry,48-72h,13.445726290909091,-0.442969,all_outcomes,169,1479.029892,0.3056607090171653,0.41818181818181815
952.3442578219392,34,first_entry,72-168h,11.095483705882353,0.2000205,all_outcomes,44,377.246446,0.3961240306764512,0.5
0.0,9,first_entry,unknown,-0.5970216666666667,0.0,all_outcomes,9,-5.373195,nan,0.2222222222222222
1.0,1,capital_weighted_entry,after_proxy_cutoff,-1.0,-1.0,yes_only,2,-1.0,-1.0,0.0
1555.0053802085145,111,capital_weighted_entry,0-6h,11.92821190990991,-0.086111,yes_only,185,1324.031522,0.8514642707039749,0.4864864864864865
5272.924795193385,398,capital_weighted_entry,6-12h,17.451210055276384,-0.34156299999999995,yes_only,738,6945.581602,1.3172161318005808,0.44221105527638194
11304.841570086915,550,capital_weighted_entry,12-24h,22.976131994545455,-0.176054,yes_only,1045,12636.872597,1.117828367487935,0.48363636363636364
10118.708722741478,505,capital_weighted_entry,24-48h,30.7623918,0.284444,yes_only,1012,15535.007859,1.535275723876265,0.5306930693069307
1039.6096761747692,66,capital_weighted_entry,48-72h,16.604457818181817,0.0,yes_only,103,1095.894216,1.0541400692155243,0.4696969696969697
197.19073767865618,21,capital_weighted_entry,72-168h,13.059198571428572,0.53892,yes_only,29,274.24317,1.390750768663938,0.5238095238095238
0.0,4,capital_weighted_entry,unknown,1.87497625,1.4999525,yes_only,4,7.499905,nan,0.5
1.0,1,first_entry,after_proxy_cutoff,-1.0,-1.0,yes_only,2,-1.0,-1.0,0.0
1341.5400889696527,95,first_entry,0-6h,12.233886947368422,0.039316,yes_only,155,1162.21926,0.8663321130363111,0.5157894736842106
4451.035124228462,372,first_entry,6-12h,15.876805717741936,-0.30865149999999997,yes_only,689,5906.171727,1.3269209435914684,0.43548387096774194
9754.765096994628,517,first_entry,12-24h,20.37595074468085,-0.237636,yes_only,991,10534.366535,1.079920062682551,0.47775628626692457
9687.513765915744,541,first_entry,24-48h,32.873845805914975,0.288996,yes_only,1082,17784.750581,1.8358426125362866,0.5304990757855823
3373.370548153293,93,first_entry,48-72h,22.07970210752688,0.0,yes_only,152,2053.412296,0.6087123447271789,0.4838709677419355
880.0562578219392,33,first_entry,72-168h,11.233653545454546,0.0,yes_only,43,370.710567,0.4212350786726699,0.48484848484848486
0.0,4,first_entry,unknown,1.87497625,1.4999525,yes_only,4,7.499905,nan,0.5
