actual_entry_allocation_pnl_at_observed_state,authoritative_realized_pnl_sum,basket_buy_budget_usd,basket_key,bucket_count,city,closed_yes_asset_count,counterfactual_status,equal_dollar_basket_pnl_at_observed_state,equal_payout_basket_pnl_at_observed_state,main_bucket_label,single_main_bucket_pnl_at_observed_state,state_model_valid,unit,weather_date,weather_metric,winner_bucket_labels
nan,nan,19.399931000215588,Sao Paulo|2026-06-23|high|C,2,Sao Paulo,0,unresolved_or_partial,nan,nan,19°C,nan,True,C,2026-06-23,high,
nan,nan,12.145000000000001,Seoul|2026-06-23|high|C,1,Seoul,0,unresolved_or_partial,nan,nan,27°C,nan,False,C,2026-06-23,high,
nan,-0.99,7.03,Shenzhen|2026-06-23|high|C,2,Shenzhen,1,unresolved_or_partial,nan,nan,35°C,nan,True,C,2026-06-23,high,
nan,121.9001,19.963000001999998,Tokyo|2026-06-23|high|C,2,Tokyo,1,unresolved_or_partial,nan,nan,23°C,nan,True,C,2026-06-23,high,23°C
nan,nan,5.34,Beijing|2026-06-24|high|C,1,Beijing,0,unresolved_or_partial,nan,nan,27°C or below,nan,False,C,2026-06-24,high,
nan,nan,6.0,Istanbul|2026-06-24|high|C,1,Istanbul,0,unresolved_or_partial,nan,nan,27°C,nan,False,C,2026-06-24,high,
nan,nan,1.467279,Milan|2026-06-24|high|C,1,Milan,0,unresolved_or_partial,nan,nan,31°C,nan,False,C,2026-06-24,high,
nan,-1.860002,25.4400000026,Moscow|2026-06-24|high|C,1,Moscow,1,not_evaluable_overlap_or_single,nan,nan,22°C,nan,False,C,2026-06-24,high,22°C
nan,71.3136,27.987000000000002,Munich|2026-06-24|high|C,1,Munich,1,not_evaluable_overlap_or_single,nan,nan,34°C,nan,False,C,2026-06-24,high,34°C
nan,nan,3.0614500000000002,Sao Paulo|2026-06-24|high|C,2,Sao Paulo,0,unresolved_or_partial,nan,nan,17°C,nan,True,C,2026-06-24,high,
nan,nan,41.567870002324,Seoul|2026-06-24|high|C,3,Seoul,0,unresolved_or_partial,nan,nan,30°C,nan,True,C,2026-06-24,high,
nan,nan,37.534400000552,Shanghai|2026-06-24|high|C,1,Shanghai,0,unresolved_or_partial,nan,nan,23°C,nan,False,C,2026-06-24,high,
nan,nan,14.254059999570002,Busan|2026-06-25|high|C,1,Busan,0,unresolved_or_partial,nan,nan,29°C,nan,False,C,2026-06-25,high,
nan,nan,27.269190000000002,Istanbul|2026-06-25|high|C,2,Istanbul,0,unresolved_or_partial,nan,nan,28°C,nan,True,C,2026-06-25,high,
nan,433.074298,362.7270259670842,London|2026-06-25|high|C,5,London,1,unresolved_or_partial,nan,nan,29°C,nan,True,C,2026-06-25,high,29°C
nan,nan,29.267199988989,Madrid|2026-06-25|high|C,1,Madrid,0,unresolved_or_partial,nan,nan,31°C,nan,False,C,2026-06-25,high,
nan,-8.3,20.83639,Miami|2026-06-25|high|F,2,Miami,1,unresolved_or_partial,nan,nan,between 92-93°F,nan,True,F,2026-06-25,high,
nan,nan,0.36294400003365923,New York City|2026-06-25|high|F,1,New York City,0,unresolved_or_partial,nan,nan,between 86-87°F,nan,False,F,2026-06-25,high,
nan,nan,107.22902900810821,Seoul|2026-06-25|high|C,3,Seoul,0,unresolved_or_partial,nan,nan,24°C,nan,True,C,2026-06-25,high,
nan,nan,2.0510150016346915,Seoul|2026-06-25|low|C,1,Seoul,0,unresolved_or_partial,nan,nan,18°C,nan,False,C,2026-06-25,low,
nan,6.553,111.85000000000001,Tokyo|2026-06-25|high|C,1,Tokyo,1,not_evaluable_overlap_or_single,nan,nan,22°C,nan,False,C,2026-06-25,high,22°C
