event_key,weather_date,yes_temperature_buckets,bucket_details,join_order,most_expensive_yes_bucket,cheapest_yes_bucket,dominant_yes_bucket_by_usd,earliest_yes_bucket,has_adjacent_yes_pair,weighted_price_gap,expensive_bucket_buy_usd,cheap_bucket_buy_usd,expensive_bucket_buy_usd_share,cheap_bucket_buy_usd_share,funding_share_gap,most_expensive_is_dominant,cheapest_is_small_add_on,expensive_funding_exceeds_cheapest,cheapest_funding_exceeds_expensive,allocation_pattern,has_yes_buy_at_or_above_50c,high_50c_with_cheaper_adjacent_yes
2026-04-23__beijing__high,2026-04-23,"[""23°C"", ""24°C""]","[{""asset"": ""8431357715887922335909644548709407739447460978954925257664327098581538020739"", ""bucket_kind"": ""exact"", ""bucket_low"": ""23.0"", ""buy_shares"": 625.65124, ""buy_usd"": 6.98223, ""buy_usd_share"": 0.4995997323, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-04-23T01:15:22+08:00"", ""first_buy_timestamp"": 1776878122, ""first_price"": 0.0199153775, ""maximum_price"": 0.0199153775, ""minimum_price"": 0.005, ""temperature_bucket"": ""23°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0111599395}, {""asset"": ""21566447027654051954463647479102067340566578824637319845242246500457092132358"", ""bucket_kind"": ""exact"", ""bucket_low"": ""24.0"", ""buy_shares"": 49.952982, ""buy_usd"": 6.993418, ""buy_usd_share"": 0.5004002677, ""fill_count"": 15, ""first_buy_time_cst"": ""2026-04-23T01:23:30+08:00"", ""first_buy_timestamp"": 1776878610, ""first_price"": 0.1400000172, ""maximum_price"": 0.140000086, ""minimum_price"": 0.14, ""temperature_bucket"": ""24°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.1400000104}]","[""23°C"", ""24°C""]",24°C,23°C,24°C,23°C,true,0.1288400709,6.993418,6.98223,0.5004002677,0.4995997323,0.0008005353,true,false,true,false,APPROXIMATELY_EVEN,false,false
2026-04-25__beijing__high,2026-04-25,"[""26°C"", ""29°C""]","[{""asset"": ""62999602185924412671900857682709527767295119553660714924742823893821142722330"", ""bucket_kind"": ""exact"", ""bucket_low"": ""26.0"", ""buy_shares"": 45.35, ""buy_usd"": 3.5, ""buy_usd_share"": 0.1489361702, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-25T03:55:28+08:00"", ""first_buy_timestamp"": 1777060528, ""first_price"": 0.07, ""maximum_price"": 0.07, ""minimum_price"": 0.07, ""temperature_bucket"": ""26°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0771775083}, {""asset"": ""94196277704027725263040487567652472589554202532984189923983272920988633086842"", ""bucket_kind"": ""exact"", ""bucket_low"": ""29.0"", ""buy_shares"": 182.0, ""buy_usd"": 20.0, ""buy_usd_share"": 0.8510638298, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-25T14:23:10+08:00"", ""first_buy_timestamp"": 1777098190, ""first_price"": 0.1, ""maximum_price"": 0.1, ""minimum_price"": 0.1, ""temperature_bucket"": ""29°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.1098901099}]","[""26°C"", ""29°C""]",29°C,26°C,29°C,26°C,false,0.0327126016,20.0,3.5,0.8510638298,0.1489361702,0.7021276596,true,true,true,false,EXPENSIVE_80_CHEAP_20,false,false
2026-04-27__beijing__high,2026-04-27,"[""24°C"", ""25°C"", ""26°C"", ""27°C or higher""]","[{""asset"": ""74775188654117731706375919392152640207142390515105180636776647163013329515447"", ""bucket_kind"": ""exact"", ""bucket_low"": ""24.0"", ""buy_shares"": 90.86, ""buy_usd"": 7.6, ""buy_usd_share"": 0.5342225796, ""fill_count"": 2, ""first_buy_time_cst"": ""2026-04-27T02:39:28+08:00"", ""first_buy_timestamp"": 1777228768, ""first_price"": 0.08, ""maximum_price"": 0.08, ""minimum_price"": 0.08, ""temperature_bucket"": ""24°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0836451684}, {""asset"": ""18759015204797689806424865263975358352874068218247776603309874732213675257358"", ""bucket_kind"": ""exact"", ""bucket_low"": ""25.0"", ""buy_shares"": 180.05188, ""buy_usd"": 3.3038, ""buy_usd_share"": 0.2322321788, ""fill_count"": 17, ""first_buy_time_cst"": ""2026-04-27T13:46:58+08:00"", ""first_buy_timestamp"": 1777268818, ""first_price"": 0.007, ""maximum_price"": 0.044, ""minimum_price"": 0.007, ""temperature_bucket"": ""25°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0183491558}, {""asset"": ""41445565019217828765776585456366349309120936422786086330894323592050191092126"", ""bucket_kind"": ""exact"", ""bucket_low"": ""26.0"", ""buy_shares"": 126.09326, ""buy_usd"": 1.56248, ""buy_usd_share"": 0.109830539, ""fill_count"": 2, ""first_buy_time_cst"": ""2026-04-27T14:00:00+08:00"", ""first_buy_timestamp"": 1777269600, ""first_price"": 0.01, ""maximum_price"": 0.0116062605, ""minimum_price"": 0.01, ""temperature_bucket"": ""26°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0123914633}, {""asset"": ""27870013192276198246622626756571080848132517874120553202251810229028455297206"", ""bucket_kind"": ""above"", ""bucket_low"": ""27.0"", ""buy_shares"": 328.67602, ""buy_usd"": 1.76, ""buy_usd_share"": 0.1237147026, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-04-27T15:32:30+08:00"", ""first_buy_timestamp"": 1777275150, ""first_price"": 0.0048219178, ""maximum_price"": 0.0048219178, ""minimum_price"": 0.0048219178, ""temperature_bucket"": ""27°C or higher"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0053548172}]","[""24°C"", ""25°C"", ""26°C"", ""27°C or higher""]",24°C,27°C or higher,24°C,24°C,true,0.0782903512,7.6,1.76,0.5342225796,0.1237147026,0.410507877,true,true,true,false,APPROXIMATELY_EVEN,false,false
2026-05-02__beijing__high,2026-05-02,"[""26°C"", ""25°C""]","[{""asset"": ""33301675211441607187539417759128642850791480671425557059188247493279455606759"", ""bucket_kind"": ""exact"", ""bucket_low"": ""26.0"", ""buy_shares"": 125.98, ""buy_usd"": 6.02113, ""buy_usd_share"": 0.7619561641, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-05-02T12:13:22+08:00"", ""first_buy_timestamp"": 1777695202, ""first_price"": 0.0456175583, ""maximum_price"": 0.0456175583, ""minimum_price"": 0.0456175583, ""temperature_bucket"": ""26°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0477943324}, {""asset"": ""29863422689008728892940410795172328467337826368931772666076274433075638569610"", ""bucket_kind"": ""exact"", ""bucket_low"": ""25.0"", ""buy_shares"": 137.5, ""buy_usd"": 1.88107, ""buy_usd_share"": 0.2380438359, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-05-02T13:24:22+08:00"", ""first_buy_timestamp"": 1777699462, ""first_price"": 0.012873805, ""maximum_price"": 0.017, ""minimum_price"": 0.012873805, ""temperature_bucket"": ""25°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0136805091}]","[""26°C"", ""25°C""]",26°C,25°C,26°C,26°C,true,0.0341138233,6.02113,1.88107,0.7619561641,0.2380438359,0.5239123282,true,false,true,false,EXPENSIVE_80_CHEAP_20,false,false
2026-05-05__beijing__high,2026-05-05,"[""28°C or below"", ""29°C"", ""31°C"", ""30°C"", ""32°C""]","[{""asset"": ""66190869002704856322962274194738014820370536615555082978251660593378232942211"", ""bucket_kind"": ""below"", ""bucket_low"": """", ""buy_shares"": 200.0, ""buy_usd"": 7.33775, ""buy_usd_share"": 0.1110957858, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-05-05T13:11:26+08:00"", ""first_buy_timestamp"": 1777957886, ""first_price"": 0.035, ""maximum_price"": 0.035, ""minimum_price"": 0.035, ""temperature_bucket"": ""28°C or below"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.03668875}, {""asset"": ""114568909488348714429527508395395101957456873722149399672863820148055315746514"", ""bucket_kind"": ""exact"", ""bucket_low"": ""29.0"", ""buy_shares"": 131.5, ""buy_usd"": 29.66757, ""buy_usd_share"": 0.4491761099, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-05-05T13:12:26+08:00"", ""first_buy_timestamp"": 1777957946, ""first_price"": 0.2171102662, ""maximum_price"": 0.2171102662, ""minimum_price"": 0.2171102662, ""temperature_bucket"": ""29°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.2256088973}, {""asset"": ""97330453251716628920627675634974144566478742357841376116445358421286248581493"", ""bucket_kind"": ""exact"", ""bucket_low"": ""31.0"", ""buy_shares"": 207.32, ""buy_usd"": 16.9864, ""buy_usd_share"": 0.2571793063, ""fill_count"": 16, ""first_buy_time_cst"": ""2026-05-05T13:40:34+08:00"", ""first_buy_timestamp"": 1777959634, ""first_price"": 0.04, ""maximum_price"": 0.12, ""minimum_price"": 0.04, ""temperature_bucket"": ""31°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0819332433}, {""asset"": ""109432169913985954432800249369363555360624717090138304021524096956655985463170"", ""bucket_kind"": ""exact"", ""bucket_low"": ""30.0"", ""buy_shares"": 26.08, ""buy_usd"": 9.128, ""buy_usd_share"": 0.1382007199, ""fill_count"": 4, ""first_buy_time_cst"": ""2026-05-05T14:31:38+08:00"", ""first_buy_timestamp"": 1777962698, ""first_price"": 0.35, ""maximum_price"": 0.35, ""minimum_price"": 0.35, ""temperature_bucket"": ""30°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.35}, {""asset"": ""84479913872251581844208708196549894663815216287929663537737185244740695967649"", ""bucket_kind"": ""exact"", ""bucket_low"": ""32.0"", ""buy_shares"": 264.77, ""buy_usd"": 2.92914, ""buy_usd_share"": 0.0443480781, ""fill_count"": 5, ""first_buy_time_cst"": ""2026-05-05T14:32:06+08:00"", ""first_buy_timestamp"": 1777962726, ""first_price"": 0.0121673333, ""maximum_price"": 0.0121673333, ""minimum_price"": 0.0081111111, ""temperature_bucket"": ""32°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0110629603}]","[""28°C or below"", ""29°C"", ""31°C"", ""30°C"", ""32°C""]",30°C,32°C,29°C,28°C or below,true,0.3389370397,9.128,2.92914,0.1382007199,0.0443480781,0.0938526418,false,true,true,false,CHEAP_80_EXPENSIVE_20,false,false
2026-05-06__beijing__high,2026-05-06,"[""27°C"", ""28°C"", ""29°C""]","[{""asset"": ""15881884661923309778325867962692490642504531046438171254533338562380273211355"", ""bucket_kind"": ""exact"", ""bucket_low"": ""27.0"", ""buy_shares"": 62.0, ""buy_usd"": 1.364, ""buy_usd_share"": 0.5731598166, ""fill_count"": 2, ""first_buy_time_cst"": ""2026-05-06T12:10:40+08:00"", ""first_buy_timestamp"": 1778040640, ""first_price"": 0.022, ""maximum_price"": 0.022, ""minimum_price"": 0.022, ""temperature_bucket"": ""27°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.022}, {""asset"": ""89743558045631051337960640190908398319635851610178667873778748920131770938639"", ""bucket_kind"": ""exact"", ""bucket_low"": ""28.0"", ""buy_shares"": 70.59, ""buy_usd"": 0.35295, ""buy_usd_share"": 0.1483114056, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-05-06T12:10:40+08:00"", ""first_buy_timestamp"": 1778040640, ""first_price"": 0.005, ""maximum_price"": 0.005, ""minimum_price"": 0.005, ""temperature_bucket"": ""28°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.005}, {""asset"": ""30877761833679887015916989793187360042617315518543129235609517713631073507045"", ""bucket_kind"": ""exact"", ""bucket_low"": ""29.0"", ""buy_shares"": 156.37, ""buy_usd"": 0.66284, ""buy_usd_share"": 0.2785287777, ""fill_count"": 7, ""first_buy_time_cst"": ""2026-05-06T12:10:40+08:00"", ""first_buy_timestamp"": 1778040640, ""first_price"": 0.002, ""maximum_price"": 0.005, ""minimum_price"": 0.002, ""temperature_bucket"": ""29°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0042389205}]","[""27°C"", ""28°C"", ""29°C""]",27°C,29°C,27°C,27°C,true,0.0177610795,1.364,0.66284,0.5731598166,0.2785287777,0.2946310389,true,false,true,false,EXPENSIVE_60_CHEAP_40,false,false
2026-05-11__beijing__high,2026-05-11,"[""28°C or below"", ""29°C""]","[{""asset"": ""66596906115778308186189121381271004022455770845915060597724065910953529679651"", ""bucket_kind"": ""below"", ""bucket_low"": """", ""buy_shares"": 465.72, ""buy_usd"": 4.7772, ""buy_usd_share"": 0.4146317119, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-05-11T01:37:22+08:00"", ""first_buy_timestamp"": 1778434642, ""first_price"": 0.01, ""maximum_price"": 0.0149493, ""minimum_price"": 0.004, ""temperature_bucket"": ""28°C or below"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0102576656}, {""asset"": ""6494649081080394954876871540260325884293802621818408548101243789221620800100"", ""bucket_kind"": ""exact"", ""bucket_low"": ""29.0"", ""buy_shares"": 469.62, ""buy_usd"": 6.74435, ""buy_usd_share"": 0.5853682881, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-05-11T01:37:32+08:00"", ""first_buy_timestamp"": 1778434652, ""first_price"": 0.0136863421, ""maximum_price"": 0.0136863421, ""minimum_price"": 0.0136863421, ""temperature_bucket"": ""29°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0143612921}]","[""28°C or below"", ""29°C""]",29°C,28°C or below,29°C,28°C or below,false,0.0041036266,6.74435,4.7772,0.5853682881,0.4146317119,0.1707365762,true,false,true,false,EXPENSIVE_60_CHEAP_40,false,false
2026-05-14__beijing__high,2026-05-14,"[""33°C or below"", ""35°C""]","[{""asset"": ""86412359706582730431639524880708729853203052007971743000161103995990167821283"", ""bucket_kind"": ""below"", ""bucket_low"": """", ""buy_shares"": 50.0, ""buy_usd"": 23.621, ""buy_usd_share"": 0.6302388723, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-05-13T15:57:22+08:00"", ""first_buy_timestamp"": 1778659042, ""first_price"": 0.46, ""maximum_price"": 0.46, ""minimum_price"": 0.46, ""temperature_bucket"": ""33°C or below"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.47242}, {""asset"": ""43650090924427097525912390328233260524805795481431339573222747234149372445154"", ""bucket_kind"": ""exact"", ""bucket_low"": ""35.0"", ""buy_shares"": 343.17, ""buy_usd"": 13.85844, ""buy_usd_share"": 0.3697611277, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-05-14T12:23:25+08:00"", ""first_buy_timestamp"": 1778732605, ""first_price"": 0.0331652138, ""maximum_price"": 0.099, ""minimum_price"": 0.0331652138, ""temperature_bucket"": ""35°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0403836}]","[""33°C or below"", ""35°C""]",33°C or below,35°C,33°C or below,33°C or below,false,0.4320364,23.621,13.85844,0.6302388723,0.3697611277,0.2604777446,true,false,true,false,EXPENSIVE_60_CHEAP_40,false,false
2026-05-21__beijing__high,2026-05-21,"[""32°C or higher"", ""31°C""]","[{""asset"": ""66564008654561876372333424927252991303956690326490923725166660510845617571571"", ""bucket_kind"": ""above"", ""bucket_low"": ""32.0"", ""buy_shares"": 566.31, ""buy_usd"": 14.01523, ""buy_usd_share"": 0.2502064504, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-05-21T03:02:21+08:00"", ""first_buy_timestamp"": 1779303741, ""first_price"": 0.0235963695, ""maximum_price"": 0.0235963695, ""minimum_price"": 0.0235963695, ""temperature_bucket"": ""32°C or higher"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0247483357}, {""asset"": ""2788435560877984847489194551625763322333664688550816569622165414682957885118"", ""bucket_kind"": ""exact"", ""bucket_low"": ""31.0"", ""buy_shares"": 926.100562, ""buy_usd"": 41.999433, ""buy_usd_share"": 0.7497935496, ""fill_count"": 20, ""first_buy_time_cst"": ""2026-05-21T03:03:03+08:00"", ""first_buy_timestamp"": 1779303783, ""first_price"": 0.0424549937, ""maximum_price"": 0.215, ""minimum_price"": 0.006, ""temperature_bucket"": ""31°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0453508342}]","[""32°C or higher"", ""31°C""]",31°C,32°C or higher,31°C,32°C or higher,false,0.0206024984,41.999433,14.01523,0.7497935496,0.2502064504,0.4995870992,true,false,true,false,EXPENSIVE_70_CHEAP_30,false,false
2026-06-12__beijing__high,2026-06-12,"[""32°C"", ""31°C"", ""33°C"", ""30°C"", ""34°C""]","[{""asset"": ""1714118038661427518313316937268610404668479943787391065898808357663921924129"", ""bucket_kind"": ""exact"", ""bucket_low"": ""32.0"", ""buy_shares"": 200.0, ""buy_usd"": 24.18089, ""buy_usd_share"": 0.3316949696, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-06-12T02:48:57+08:00"", ""first_buy_timestamp"": 1781203737, ""first_price"": 0.1157855, ""maximum_price"": 0.1157855, ""minimum_price"": 0.1157855, ""temperature_bucket"": ""32°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.12090445}, {""asset"": ""101056054893076357303904934578593151855646782736238147041176169594318997287977"", ""bucket_kind"": ""exact"", ""bucket_low"": ""31.0"", ""buy_shares"": 305.662266, ""buy_usd"": 4.584934, ""buy_usd_share"": 0.0628926207, ""fill_count"": 11, ""first_buy_time_cst"": ""2026-06-12T02:48:58+08:00"", ""first_buy_timestamp"": 1781203738, ""first_price"": 0.015, ""maximum_price"": 0.015000001, ""minimum_price"": 0.015, ""temperature_bucket"": ""31°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.015}, {""asset"": ""89098707078170219839073393347160119695289108317850482273104362145412265516737"", ""bucket_kind"": ""exact"", ""bucket_low"": ""33.0"", ""buy_shares"": 220.0, ""buy_usd"": 16.93481, ""buy_usd_share"": 0.2322987817, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-06-12T13:42:40+08:00"", ""first_buy_timestamp"": 1781242960, ""first_price"": 0.0735686364, ""maximum_price"": 0.0735686364, ""minimum_price"": 0.0735686364, ""temperature_bucket"": ""33°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0769764091}, {""asset"": ""8951594499615874553748685197765431559594838015834266080711310650141811792321"", ""bucket_kind"": ""exact"", ""bucket_low"": ""30.0"", ""buy_shares"": 217.14, ""buy_usd"": 19.20056, ""buy_usd_share"": 0.2633786087, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-06-12T13:43:19+08:00"", ""first_buy_timestamp"": 1781242999, ""first_price"": 0.0845545731, ""maximum_price"": 0.0845545731, ""minimum_price"": 0.0845545731, ""temperature_bucket"": ""30°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0884247951}, {""asset"": ""35724377268088693225726919042925098838889556498629625171616930884099611978400"", ""bucket_kind"": ""exact"", ""bucket_low"": ""34.0"", ""buy_shares"": 199.994775, ""buy_usd"": 7.999791, ""buy_usd_share"": 0.1097350194, ""fill_count"": 4, ""first_buy_time_cst"": ""2026-06-12T15:02:25+08:00"", ""first_buy_timestamp"": 1781247745, ""first_price"": 0.04, ""maximum_price"": 0.04, ""minimum_price"": 0.04, ""temperature_bucket"": ""34°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.04}]","[""32°C"", ""31°C"", ""33°C"", ""30°C"", ""34°C""]",32°C,31°C,32°C,32°C,true,0.10590445,24.18089,4.584934,0.3316949696,0.0628926207,0.2688023488,true,true,true,false,CHEAP_70_EXPENSIVE_30,false,false
2026-06-15__beijing__high,2026-06-15,"[""28°C"", ""26°C"", ""27°C"", ""25°C or below""]","[{""asset"": ""6625950344667103356659434812943537638945594145223162234577774499886339943740"", ""bucket_kind"": ""exact"", ""bucket_low"": ""28.0"", ""buy_shares"": 179.25, ""buy_usd"": 33.45112, ""buy_usd_share"": 0.4584021199, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-06-15T03:23:39+08:00"", ""first_buy_timestamp"": 1781465019, ""first_price"": 0.1792608089, ""maximum_price"": 0.1792608089, ""minimum_price"": 0.1792608089, ""temperature_bucket"": ""28°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.1866171269}, {""asset"": ""70671096548077349837863924889083524316633252190932384849282874192399975717597"", ""bucket_kind"": ""exact"", ""bucket_low"": ""26.0"", ""buy_shares"": 131.4, ""buy_usd"": 3.10437, ""buy_usd_share"": 0.0425411702, ""fill_count"": 2, ""first_buy_time_cst"": ""2026-06-15T03:46:31+08:00"", ""first_buy_timestamp"": 1781466391, ""first_price"": 0.006, ""maximum_price"": 0.0231899525, ""minimum_price"": 0.006, ""temperature_bucket"": ""26°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0236253425}, {""asset"": ""57079491115667866115697137550893969205882093455592713984158009390260732469616"", ""bucket_kind"": ""exact"", ""bucket_low"": ""27.0"", ""buy_shares"": 205.55, ""buy_usd"": 12.86782, ""buy_usd_share"": 0.1763359782, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-06-15T04:53:48+08:00"", ""first_buy_timestamp"": 1781470428, ""first_price"": 0.059373959, ""maximum_price"": 0.08, ""minimum_price"": 0.059373959, ""temperature_bucket"": ""27°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0626018973}, {""asset"": ""87626864494023941074792277184142557841858420528961451158643328396165259628400"", ""bucket_kind"": ""below"", ""bucket_low"": """", ""buy_shares"": 150.0, ""buy_usd"": 23.55, ""buy_usd_share"": 0.3227207317, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-06-15T13:39:30+08:00"", ""first_buy_timestamp"": 1781501970, ""first_price"": 0.157, ""maximum_price"": 0.157, ""minimum_price"": 0.157, ""temperature_bucket"": ""25°C or below"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.157}]","[""28°C"", ""26°C"", ""27°C"", ""25°C or below""]",28°C,26°C,28°C,28°C,true,0.1629917845,33.45112,3.10437,0.4584021199,0.0425411702,0.4158609497,true,true,true,false,APPROXIMATELY_EVEN,false,false
2026-06-28__beijing__high,2026-06-28,"[""27°C or below"", ""28°C"", ""35°C""]","[{""asset"": ""43293199251797360437328165210268099210815959800091984684253133844021944914859"", ""bucket_kind"": ""below"", ""bucket_low"": """", ""buy_shares"": 764.83, ""buy_usd"": 4.58898, ""buy_usd_share"": 0.2704683679, ""fill_count"": 29, ""first_buy_time_cst"": ""2026-06-28T03:28:31+08:00"", ""first_buy_timestamp"": 1782588511, ""first_price"": 0.006, ""maximum_price"": 0.006, ""minimum_price"": 0.006, ""temperature_bucket"": ""27°C or below"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.006}, {""asset"": ""31981304089168379291121302205733187643582935393994115799574360734055295603212"", ""bucket_kind"": ""exact"", ""bucket_low"": ""28.0"", ""buy_shares"": 200.0, ""buy_usd"": 4.6, ""buy_usd_share"": 0.271117872, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-06-28T03:34:20+08:00"", ""first_buy_timestamp"": 1782588860, ""first_price"": 0.023, ""maximum_price"": 0.023, ""minimum_price"": 0.023, ""temperature_bucket"": ""28°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.023}, {""asset"": ""11992227012042487761934079605302479062020809322296514242724634681118992898346"", ""bucket_kind"": ""exact"", ""bucket_low"": ""35.0"", ""buy_shares"": 475.86, ""buy_usd"": 7.77781, ""buy_usd_share"": 0.4584137601, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-06-28T16:18:11+08:00"", ""first_buy_timestamp"": 1782634691, ""first_price"": 0.043639842, ""maximum_price"": 0.043639842, ""minimum_price"": 0.013, ""temperature_bucket"": ""35°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.0163447443}]","[""27°C or below"", ""28°C"", ""35°C""]",28°C,27°C or below,35°C,27°C or below,false,0.017,4.6,4.58898,0.271117872,0.2704683679,0.0006495041,false,false,true,false,CHEAP_70_EXPENSIVE_30,false,false
2026-06-29__beijing__high,2026-06-29,"[""27°C"", ""28°C"", ""29°C""]","[{""asset"": ""108767903896108640893988051095372301802837883381508141096829997523760298855796"", ""bucket_kind"": ""exact"", ""bucket_low"": ""27.0"", ""buy_shares"": 198.79, ""buy_usd"": 25.79803, ""buy_usd_share"": 0.3489677078, ""fill_count"": 2, ""first_buy_time_cst"": ""2026-06-29T02:49:16+08:00"", ""first_buy_timestamp"": 1782672556, ""first_price"": 0.14, ""maximum_price"": 0.14, ""minimum_price"": 0.1049532605, ""temperature_bucket"": ""27°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.1297752905}, {""asset"": ""104051924962414143041962982924243749501852800133149234608521616627851005731481"", ""bucket_kind"": ""exact"", ""bucket_low"": ""28.0"", ""buy_shares"": 202.84, ""buy_usd"": 47.12871, ""buy_usd_share"": 0.6375059608, ""fill_count"": 3, ""first_buy_time_cst"": ""2026-06-29T15:26:49+08:00"", ""first_buy_timestamp"": 1782718009, ""first_price"": 0.2425925926, ""maximum_price"": 0.2754431072, ""minimum_price"": 0.1025, ""temperature_bucket"": ""28°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.2323442615}, {""asset"": ""1800446057071802619948908345413005568923057470305768033859465736379668663382"", ""bucket_kind"": ""exact"", ""bucket_low"": ""29.0"", ""buy_shares"": 199.9914, ""buy_usd"": 0.999957, ""buy_usd_share"": 0.0135263314, ""fill_count"": 10, ""first_buy_time_cst"": ""2026-06-29T15:37:50+08:00"", ""first_buy_timestamp"": 1782718670, ""first_price"": 0.005, ""maximum_price"": 0.005, ""minimum_price"": 0.005, ""temperature_bucket"": ""29°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.005}]","[""27°C"", ""28°C"", ""29°C""]",28°C,29°C,28°C,27°C,true,0.2273442615,47.12871,0.999957,0.6375059608,0.0135263314,0.6239796294,true,true,true,false,EXPENSIVE_60_CHEAP_40,false,false
2026-06-30__beijing__high,2026-06-30,"[""25°C"", ""26°C""]","[{""asset"": ""70707695627148214856626015782807251188887892976313758443790433310903318968016"", ""bucket_kind"": ""exact"", ""bucket_low"": ""25.0"", ""buy_shares"": 97.7, ""buy_usd"": 11.10055, ""buy_usd_share"": 0.2891715567, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-06-30T04:16:23+08:00"", ""first_buy_timestamp"": 1782764183, ""first_price"": 0.1087717503, ""maximum_price"": 0.1087717503, ""minimum_price"": 0.1087717503, ""temperature_bucket"": ""25°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.1136187308}, {""asset"": ""27163779202359312548075864842095860998129848410911739395007504191800306740378"", ""bucket_kind"": ""exact"", ""bucket_low"": ""26.0"", ""buy_shares"": 125.0, ""buy_usd"": 27.28687, ""buy_usd_share"": 0.7108284433, ""fill_count"": 1, ""first_buy_time_cst"": ""2026-06-30T04:16:28+08:00"", ""first_buy_timestamp"": 1782764188, ""first_price"": 0.21, ""maximum_price"": 0.21, ""minimum_price"": 0.21, ""temperature_bucket"": ""26°C"", ""unit"": ""C"", ""usd_weighted_average_price"": 0.21829496}]","[""25°C"", ""26°C""]",26°C,25°C,26°C,25°C,true,0.1046762292,27.28687,11.10055,0.7108284433,0.2891715567,0.4216568866,true,false,true,false,EXPENSIVE_70_CHEAP_30,false,false
