asset,avgPrice,cashPnl,conditionId,curPrice,currentValue,endDate,eventId,eventSlug,icon,initialValue,mergeable,negativeRisk,oppositeAsset,oppositeOutcome,outcome,outcomeIndex,percentPnl,percentRealizedPnl,proxyWallet,realizedPnl,redeemable,size,slug,title,totalBought
69530199658414500332199297695893381784974165232019527609005696032828796040987,0.26,-5.0845,0x4cb88ab273f1ad1e7a069af9617f6c9eae369df153fd3b89f6a19b5f700d4dd3,0,0,2026-04-09,314919,col-shd-az-2026-04-09,https://polymarket-upload.s3.us-east-2.amazonaws.com/uefa-conference-league-798904aed0.png,5.0845,False,True,94638917788506521394458086951964264145086126668813965372801212715833113307756,No,Yes,0,-99.9988,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,19.556,col-shd-az-2026-04-09-az,Will AZ win on 2026-04-09?,20
74628978926293147595270885816642345818438521265923530204637010426462504820217,0.152,-2.9564,0x177259922522e9cd5dd406109f038f5c3c6a1b00d1d7c6f133d642a127ffc27e,0,0,2026-06-06,560933,lowest-temperature-in-nyc-on-june-6-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/test-nyc-weather-pciture-cgUEW73XBkei.jpg,2.9564,False,True,40141304686360702825071706753495734342075538875210065051955153367806040194598,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,19.45,lowest-temperature-in-nyc-on-june-6-2026-74-75f,Will the lowest temperature in New York City be between 74-75°F on June 6?,19.45
81637512759821901010946364341936443248018991191148031372301291839450415319678,0.007,-0.1357,0x4894bf13551fa4b9fe1a71551d8f1cb72985362a2615b71ef1bd043e56309c36,0,0,2026-06-16,593020,highest-temperature-in-seoul-on-june-16-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-seoul-on-december-6-WzqtMeHg43n4.jpg,0.1357,False,True,61722570819682008745458484900739440629434743636351677109465779347854829969143,No,Yes,0,-99.9749,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,19.3905,highest-temperature-in-seoul-on-june-16-2026-32corhigher,Will the highest temperature in Seoul be 32°C or higher on June 16?,19.3905
77716268301275313306997984408022858815928714653953460693415744782986802336203,0.015,-0.2852,0xe5e611d2eb55bf31dc032e17b703e04b47b0dad2b4b625823a8920d876f5c514,0,0,2026-04-17,381513,highest-temperature-in-los-angeles-on-april-17-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/los-angeles-cdae9380c7.jpg,0.2852,False,True,107020671027806626247212359970202916979512007810392312705674248405268476915446,No,Yes,0,-99.9912,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,19.015,highest-temperature-in-los-angeles-on-april-17-2026-76-77f,Will the highest temperature in Los Angeles be between 76-77°F on April 17?,20
99739653165756028159135657643686956835360684522685881687117499144603471113629,0.0314,-0.5931,0x21560e6ad7c34834b0f45eb14172bf80fb67ed3c62a2d90194f74bde4c904a94,0,0,2026-05-01,429740,highest-temperature-in-jakarta-on-may-1-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/sss-437e42681a.jpg,0.5931,False,True,88197748269121415666765549799929155289370351714701128534918618506036863333346,No,Yes,0,-99.9847,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,18.85,highest-temperature-in-jakarta-on-may-1-2026-32c,Will the highest temperature in Jakarta be 32°C on May 1?,18.85
112199752836972880351087029754212675009965320132712106742601111458966243353831,0.45,-8.4089,0x18812e1af40eeb7aa40f73c7f6d4d13f0ff7bc1d7a5cf014292bd77bec61d7c4,0,0,2026-04-09,314834,uel-por1-not-2026-04-09-more-markets,https://polymarket-upload.s3.us-east-2.amazonaws.com/uel.png,8.4089,False,False,53499616296103709350757280513452595294092997652519986925879744927926984362821,Under,Over,0,-99.9997,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,18.6865,uel-por1-not-2026-04-09-total-3pt5,FC Porto vs. Nottingham Forest FC: O/U 3.5,19
45260598049569816564997368305061973499095028241397663247446062765888456590000,0.1999,-3.682,0x1aa2fad4205eb3a66e30247d9acda88b9d878de27670d148ffe06002b31c66e9,0,0,2026-03-20,285291,highest-temperature-in-madrid-on-march-20-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/madrid-84bf84053b.jpg,3.682,False,True,42108739013294675981131354491531475439970805275518144500722183868850076491188,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,18.41,highest-temperature-in-madrid-on-march-20-2026-15c,Will the highest temperature in Madrid be 15°C on March 20?,18.41
45135104920283280301192963758898956574893613143093484769711569918971364753751,0.005,-0.0904,0xf7ccafe9040726d029480c05f6d6d2f73e01a1e2878c7401d79c8e9de700b2d4,0,0,2026-07-04,660807,highest-temperature-in-nyc-on-july-4-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/test-nyc-weather-pciture-cgUEW73XBkei.jpg,0.0904,False,True,68040621816088138521617970411142947261335707851296919743553771875878815229896,Yes,No,1,-99.9425,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,18.0904,highest-temperature-in-nyc-on-july-4-2026-96-97f,Will the highest temperature in New York City be between 96-97°F on July 4?,18.0904
81588953828165461071602120812678282297957664664972812636792956458443779241356,0.01,-0.1794,0xb19645af239fefa575dd11e468a1f1ff2c372aa5933235be1886719e66e3ff5d,0,0,2026-05-09,457210,lowest-temperature-in-hong-kong-on-may-9-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/hongkong-ae9cc75f37.jpg,0.1794,False,True,52530439798960828008805220625192881967628492038829713587113323749157085371544,No,Yes,0,-99.9933,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,17.9411,lowest-temperature-in-hong-kong-on-may-9-2026-20c,Will the lowest temperature in Hong Kong be 20°C on May 9?,17.9411
103149413717848859764744089782479757118081733613489643869634713423102128373775,0.06,-1.0662,0x0d4ec385d2142bcb287f4b0c0c1aa034f24e3b54ef4b485679c9bb23338c0d4a,0,0,2026-06-30,643219,highest-temperature-in-milan-on-june-30-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/milan-dba8e5d984.jpg,1.0662,False,True,90843225437477225920415978989499123029411311467330841922342443085113955142122,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,17.77,highest-temperature-in-milan-on-june-30-2026-33c,Will the highest temperature in Milan be 33°C on June 30?,17.77
73919595510395347362984290874921802390152775686361423092484995873431634208673,0.11,-1.9008,0x68515d9b05c3091a94b0191a416467e7e177bc6b3d1fe7c448aa47eaea07230c,0,0,2026-06-03,546776,highest-temperature-in-shanghai-on-june-3-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/shanghai-98a00e357b.png,1.9008,False,True,92679427008274027013780058838330518848406932783866086537235674364723971997514,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,17.28,highest-temperature-in-shanghai-on-june-3-2026-29c,Will the highest temperature in Shanghai be 29°C on June 3?,17.28
114985944897601233677184957009113897846867042401061031367185978142731726872082,0.1418,-2.3765,0x0c5edc87a847e4ef198f1912a22bbcf400c0a852a85fef505187d81b7681dbc4,0,0,2026-04-15,376484,lowest-temperature-in-london-on-april-15-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-london-on-jan-22-eouu0bkjph8i.jpg,2.3765,False,True,25613615573395731208355396393074627063478741830354546629876736489816740573904,No,Yes,0,-99.9973,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,16.7586,lowest-temperature-in-london-on-april-15-2026-12c,Will the lowest temperature in London be 12°C on April 15?,17.51
21847656241215647539697644947936428185158738956667930488616437715101185051084,0.0194,-0.3226,0x844ebc96988c876aa3dc7bc30d28b9beb6924c9d70c4f1a95c6e8a04d99899ee,0,0,2026-04-18,384039,highest-temperature-in-wuhan-on-april-18-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/wuhan-c1b302d9f5.jpg,0.3226,False,True,51104097168370551858591338559950789675766978832686353318288820084703054643755,No,Yes,0,-99.9856,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,16.6278,highest-temperature-in-wuhan-on-april-18-2026-30c,Will the highest temperature in Wuhan be 30°C on April 18?,17.38
27972349567308607620616996624874215948003583435971814876998601591003011345500,0.3254,-5.3763,0x45854c84562957334fc7289ec019f2b3a584ff99b1e030a77ab302109e61eaaa,0,0,2026-03-07,247558,highest-temperature-in-buenos-aires-on-march-7-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-highest-temperature-in-buenos-aires-be-32-c-or-higher-on-december-6-etNh-JFGhdrt.jpg,5.3763,False,True,31946543547009944239766015613141963191282977638837511001094456990604445227649,No,Yes,0,-99.9984,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,16.52,highest-temperature-in-buenos-aires-on-march-7-2026-26c,Will the highest temperature in Buenos Aires be 26°C on March 7?,16.52
15209667759137678369851117651936388222250373576480441086793798387403795523280,0.22,-3.5904,0xd55d4d5c50dda926d0b2354e50a342f71c2ec937aa1009a9811f3369f00331e8,0,0,2026-04-04,322581,highest-temperature-in-madrid-on-april-4-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/madrid-84bf84053b.jpg,3.5904,False,True,71301021915732355579433926941064247754196152694690307596092255351161325103910,No,Yes,0,-99.9999,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,16.32,highest-temperature-in-madrid-on-april-4-2026-24c,Will the highest temperature in Madrid be 24°C on April 4?,16.32
92994479025186488176048422280610448613449666556900206473482221018209169260623,0.18,-2.8663,0x207fca0539d4bc9960e26e7b0d71cd358e201d2f39ee468b4a92deb1af849a1e,0,0,2026-06-06,560857,highest-temperature-in-san-francisco-on-june-6-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/san-francisco-e705a842df.jpg,2.8663,False,True,65345345070523823829204433117349541136254900787787277687090440765839847022283,No,Yes,0,-99.9999,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,15.9239,highest-temperature-in-san-francisco-on-june-6-2026-60-61f,Will the highest temperature in San Francisco be between 60-61°F on June 6?,15.9239
84359357523469143861917587429894942932335507522846988208694770568022646918547,0.006,-0.0933,0xef1ee1cda3d58dbaa98e0fcd9128cf9edc6a4ff04d40839d514f24f8d81f64d8,0,0,2026-03-21,279181,highest-temperature-in-hong-kong-on-march-21-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/hongkong-ae9cc75f37.jpg,0.0933,False,True,30740054812074838774131617746605644050844451857547217414562774327981311375023,No,Yes,0,-99.9346,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,15.5601,highest-temperature-in-hong-kong-on-march-21-2026-23c,Will the highest temperature in Hong Kong be 23°C on March 21?,15.5601
62471128896775327626772248132512211936670612486213447128008221080652780889634,0.01,-0.15,0x308ed263897e22ff5884f6c3e24cb131a25cffd6fc4ca237f15103f574cddbc8,0,0,2026-06-21,610670,highest-temperature-in-warsaw-on-june-21-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/warsaw-7f43eebaf6.jpg,0.15,False,True,109701138845350253796037717777658829662324522449663361379449587564833912178597,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,15,highest-temperature-in-warsaw-on-june-21-2026-33c,Will the highest temperature in Warsaw be 33°C on June 21?,15
98940854748140133162084625384064988434359271035912507001613867310580328983201,0.002,-0.03,0x74f319e4639f9de88736f1441ffff1a616011485cc59ebd911bd366189b8b8c6,0,0,2026-06-09,568128,lowest-temperature-in-seoul-on-june-9-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-seoul-on-december-6-WzqtMeHg43n4.jpg,0.03,False,True,49358922102979424012135520689787869346037489065875555379271636088463466067906,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,15,lowest-temperature-in-seoul-on-june-9-2026-13c,Will the lowest temperature in Seoul be 13°C on June 9?,15
17708430293471817911412520404901685052769072103418548114393461054893758486694,0.18,-2.6648,0x15e921c0b8ebaa351a8b05be0d4a22b71b926a4ed1d0ba6d53b64e24902b8910,0,0,2026-04-16,379811,highest-temperature-in-wuhan-on-april-16-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/wuhan-c1b302d9f5.jpg,2.6648,False,True,23916514977618388939694680519706342477178575233752301266330658191165573600360,No,Yes,0,-99.9971,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,14.8048,highest-temperature-in-wuhan-on-april-16-2026-22c,Will the highest temperature in Wuhan be 22°C on April 16?,14.8048
44336710361794173626718122177448590131264715840001529510319054447426205701904,0.04,-0.5712,0x636d9e49949eaf81ed83205c5614a44a066dac03a373478ecf4716912d9d9109,0,0,2026-04-20,390809,highest-temperature-in-sao-paulo-on-april-20-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/sao paulo-7deca91e54.jpg,0.5712,False,True,75656511027310599185661150858739738714263838338984566690020136430480251517736,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,14.28,highest-temperature-in-sao-paulo-on-april-20-2026-28c,Will the highest temperature in Sao Paulo be 28°C on April 20?,15
38631262403689996609245575337123511200098578950881650511644940870022168055275,0.25,-3.5,0x714717c58ea12c27da61af5b4ad44d5c3751a0748cf8647d008ab0b3f4122227,0,0,2026-06-09,571036,highest-temperature-in-panama-city-on-june-9-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/panama-city-563f6ab7e6.jpg,3.5,False,True,87861179688459137339716304080025899927043134787379594317398612518039517747321,Yes,No,1,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,14,highest-temperature-in-panama-city-on-june-9-2026-30c,Will the highest temperature in Panama City be 30°C on June 9?,14
39187191011923391045170288536205849137596165711692273277660628544559636274426,0.11,-1.4384,0xb1b932ba901ededc84ef727b3b689247f930b3f24ce83c34a56006f018118825,0,0,2026-04-13,359567,highest-temperature-in-madrid-on-april-13-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/madrid-84bf84053b.jpg,1.4384,False,True,112322951306905798880994778367753436163401701750467130006141666426030343184665,No,Yes,0,-99.9936,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,13.0771,highest-temperature-in-madrid-on-april-13-2026-18c,Will the highest temperature in Madrid be 18°C on April 13?,13.0771
71686968977275220899018734678482350770247507234341982198755128100654199581446,0.06,-0.7343,0xc9f1ff2faf9c1e64680ca04424a047788ca604c5ecd7c9436a066465ef171ddb,0,0,2026-04-29,422449,highest-temperature-in-paris-on-april-29-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/paris-f08f5c4a28.jpg,0.7343,False,True,31505755554532104189605564994327736793526781877006875037625016301946980460495,No,Yes,0,-99.9863,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,12.24,highest-temperature-in-paris-on-april-29-2026-22c,Will the highest temperature in Paris be 22°C on April 29?,12.24
89590343504895086271708122714466769238154939638816771100877404693555513535582,0.1245,-1.5222,0x18db19216ce20deeb2528e151a121fb666843f3c8f97a711aa4641ac22043e36,0,0,2026-03-08,249628,highest-temperature-in-buenos-aires-on-march-8-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/will-the-highest-temperature-in-buenos-aires-be-32-c-or-higher-on-december-6-etNh-JFGhdrt.jpg,1.5222,False,True,29434368705359833025660216496920191100418326555204825396055341580491194142863,No,Yes,0,-99.9989,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,12.2222,highest-temperature-in-buenos-aires-on-march-8-2026-25c,Will the highest temperature in Buenos Aires be 25°C on March 8?,12.2222
109897867257223896268520185722650187937196652641716426105856669241380044019577,0.19,-2.261,0x772ce5fefc42877a4f6bb92fed6eab10b1dabe0a9d15e4f6b1b655ff93a80aea,0,0,2026-03-20,285291,highest-temperature-in-madrid-on-march-20-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/madrid-84bf84053b.jpg,2.261,False,True,63774160400985455824833400350054858373559937943695605029871302519528503801599,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,11.9,highest-temperature-in-madrid-on-march-20-2026-14c,Will the highest temperature in Madrid be 14°C on March 20?,11.9
7839933255962654675169114710144448208262034910358662280206092594675700328432,0.022,-0.2582,0x1b6e180fd1d65a3527a7286546714af99f35c957a7b3b6794b0e3cb293114272,0,0,2026-05-18,490229,arch-highest-temperature-in-sao-paulo-on-may-18-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/sao paulo-7deca91e54.jpg,0.2582,False,True,32117577021878520542185710380637741904023263985739124412540415077080802324230,No,Yes,0,-99.969,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,11.74,arch-highest-temperature-in-sao-paulo-on-may-18-2026-18c,Will the highest temperature in Sao Paulo be 18°C on May 18?,11.74
115650598310219315656092539894183551526431689281767656894824179131530709029478,0.24,-2.6736,0x8f8b60a9887362f08f5178e87271ca85aa9b17a4a6d9133f2f9bbe4c46776fa2,0,0,2026-05-21,500667,highest-temperature-in-paris-on-may-21-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/paris-f08f5c4a28.jpg,2.6736,False,True,115784342798667028053245051459096769860334680014817244578376345196424257937211,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,-0.2742,True,11.14,highest-temperature-in-paris-on-may-21-2026-25c,Will the highest temperature in Paris be 25°C on May 21?,100
38270403606556162241393815439868149552176768849070738930602117139148346285150,0.09,-0.9882,0xd0e68e75d2a458ba192a89589f113384f499090dabc1da937410b98afac64c35,0,0,2026-05-30,533147,highest-temperature-in-nyc-on-may-30-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/test-nyc-weather-pciture-cgUEW73XBkei.jpg,0.9882,False,True,56736741796643000514233049325032555949445395375186455056622735042382633591163,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,10.98,highest-temperature-in-nyc-on-may-30-2026-66-67f,Will the highest temperature in New York City be between 66-67°F on May 30?,10.98
96432920699714285707934889940085237225904970894919205458817499304206456798418,0.003,-0.0322,0xc7cd08176bda14bae0e4ce1415ec6cdb04c22fa642885347259e6c80adee6784,0,0,2026-04-18,384014,highest-temperature-in-sao-paulo-on-april-18-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/sao paulo-7deca91e54.jpg,0.0322,False,True,52699745430218389201871148007516240266067154152290087382449270980898720740452,No,Yes,0,-99.9007,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,10.744,highest-temperature-in-sao-paulo-on-april-18-2026-32c,Will the highest temperature in Sao Paulo be 32°C on April 18?,10.744
107718112799469550308611741322001737306360666160002498195413616070015464035096,0.39,-4.0014,0x4f1cc37576244be81ca1eb6970b1e31eee94a1b3eca630a559fe71dc91371853,0,0,2026-04-23,401685,highest-temperature-in-hong-kong-on-april-23-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/hongkong-ae9cc75f37.jpg,4.0014,False,True,94681596936822430091052663588309492409759015120110772587216085231411524658598,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,10.26,highest-temperature-in-hong-kong-on-april-23-2026-27c,Will the highest temperature in Hong Kong be 27°C on April 23?,10.26
16155913739352946715245339808040427851541747210261675252477264145132061100619,0.05,-0.5,0x940e92ff2d59dbb2650021cdf952bab6da82488ba90175d477d8ee23248d05e0,0,0,2026-07-12,689792,highest-temperature-in-toronto-on-july-12-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/highest-temperature-in-toronto-on-december-6-ZHBngGPj9GGd.jpg,0.5,False,True,10296908196601831291817574072293322296176041833167124882024332067509614774145,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,10,highest-temperature-in-toronto-on-july-12-2026-29c,Will the highest temperature in Toronto be 29°C on July 12?,10
51942965749796920571949477812443433488647179229724425348187045154262897573268,0.1,-1,0xe4326f330aba19353be031de3e64baef4fae9f9fc2042bb95381eb29f3e9a69a,0,0,2026-05-16,483494,highest-temperature-in-qingdao-on-may-16-2026,https://polymarket-upload.s3.us-east-2.amazonaws.com/qingdao-64680595db.jpg,1,False,True,4652851682026753347228514349373128720191244104517285273116184298100710062319,No,Yes,0,-100,-100,0xaf17116ae2b1476032785a67bd5b7c8c05905c20,0,True,10,highest-temperature-in-qingdao-on-may-16-2026-22c,Will the highest temperature in Qingdao be 22°C on May 16?,10
