activity_exact_match_count,activity_nearest_match_count,activity_no_match_count,buy_fill_count,entry_timeline_reasons,entry_timeline_status,event_key,final_path_classification,pnl_source,pnl_status,position_status,sell_fill_count,sell_pnl_method_agreement,sell_pnl_status,weather_date
3,0,0,3,,ENTRY_TIMELINE_COMPLETE,2026-05-07__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-05-07
4,0,0,2,,ENTRY_TIMELINE_COMPLETE,2026-05-08__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,2,True,SELL_PNL_AVAILABLE,2026-05-08
6,0,0,5,,ENTRY_TIMELINE_COMPLETE,2026-05-11__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,1,True,SELL_PNL_AVAILABLE,2026-05-11
2,0,0,1,,ENTRY_TIMELINE_COMPLETE,2026-05-12__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,1,True,SELL_PNL_AVAILABLE,2026-05-12
6,0,0,4,,ENTRY_TIMELINE_COMPLETE,2026-05-14__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,2,True,SELL_PNL_AVAILABLE,2026-05-14
35,0,0,21,,ENTRY_TIMELINE_COMPLETE,2026-05-21__beijing__high,HOLD_TO_SETTLEMENT_OBSERVED,current_public_closed_positions,STRICT_CLOSED_SETTLED,CLOSED_POSITION_CONFIRMED,14,True,SELL_PNL_AVAILABLE,2026-05-21
2,0,0,2,,ENTRY_TIMELINE_COMPLETE,2026-05-22__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-05-22
10,0,0,9,,ENTRY_TIMELINE_COMPLETE,2026-05-23__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,1,False,SELL_PNL_METHOD_DISAGREEMENT,2026-05-23
2,0,0,2,,ENTRY_TIMELINE_COMPLETE,2026-06-03__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-06-03
18,0,0,18,,ENTRY_TIMELINE_COMPLETE,2026-06-12__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-06-12
9,0,0,7,,ENTRY_TIMELINE_COMPLETE,2026-06-15__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,2,True,SELL_PNL_AVAILABLE,2026-06-15
1,0,0,1,,ENTRY_TIMELINE_COMPLETE,2026-06-16__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-06-16
1,0,0,1,,ENTRY_TIMELINE_COMPLETE,2026-06-24__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-06-24
42,0,0,39,,ENTRY_TIMELINE_COMPLETE,2026-06-28__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,3,True,SELL_PNL_AVAILABLE,2026-06-28
15,0,0,15,,ENTRY_TIMELINE_COMPLETE,2026-06-29__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-06-29
2,0,0,2,,ENTRY_TIMELINE_COMPLETE,2026-06-30__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-06-30
9,0,0,9,,ENTRY_TIMELINE_COMPLETE,2026-07-04__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-07-04
5,0,0,5,,ENTRY_TIMELINE_COMPLETE,2026-07-06__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-07-06
7,0,0,7,,ENTRY_TIMELINE_COMPLETE,2026-07-10__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-07-10
4,0,0,4,,ENTRY_TIMELINE_COMPLETE,2026-07-11__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-07-11
4,0,0,3,,ENTRY_TIMELINE_COMPLETE,2026-07-20__beijing__high,PARTIAL_EXIT_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,1,True,SELL_PNL_AVAILABLE,2026-07-20
8,0,0,8,,ENTRY_TIMELINE_COMPLETE,2026-07-23__beijing__high,NO_RECORDED_SELL_FINAL_PATH_UNKNOWN,,RESOLVED_REDEEMABLE_UNREDEEMED,RESOLVED_REDEEMABLE_UNREDEEMED,0,,NO_RECORDED_SELL,2026-07-23
