capital_at_risk_usd,current_zero_value_added_positions,entry_price_bin,exit_mode_v2,positions,realized_pnl_v2,roi_v2,sell_before_local_day_end_positions,settled_positions,win_rate_v2
167.95762187140662,1,0-1c,mostly_or_fully_sold,52,1672.636083,9.958679245176622,52,52,0.4807692307692308
818.1472427545622,246,0-1c,never_sold,324,-239.36229699999998,-0.2925662820718041,0,324,0.006172839506172839
99.47847833558978,10,0-1c,partially_sold,17,-8.683564999999996,-0.08729089090713738,17,17,0.29411764705882354
4.565904,0,0-1c,transform_affected,3,515.604405,112.9249333757346,2,3,1.0
436.56274369939933,1,1-2c,mostly_or_fully_sold,68,474.41093,1.08669586868517,68,68,0.4852941176470588
1116.3665844785596,191,1-2c,never_sold,254,-1034.396807,-0.9265744974650539,0,254,0.007874015748031496
372.20039404680864,17,1-2c,partially_sold,30,-53.66564299999999,-0.14418480973787173,30,30,0.2
55.055157999824,0,1-2c,transform_affected,36,2614.865598,47.49537905255597,12,36,1.0
1243.303353797488,1,2-5c,mostly_or_fully_sold,144,5571.882457,4.481514861181305,144,144,0.5625
2429.423986446846,271,2-5c,never_sold,354,-1659.993142,-0.6832867178642716,0,354,0.025423728813559324
921.0204331725434,43,2-5c,partially_sold,62,-260.612954,-0.28296109903044564,62,62,0.24193548387096775
143.0323639857413,2,2-5c,transform_affected,16,1220.350267,8.53198697828734,8,16,0.9375
2331.5787242469773,0,5-10c,mostly_or_fully_sold,192,4860.77582,2.0847573232037746,192,192,0.5520833333333334
3397.038159387785,213,5-10c,never_sold,279,-1997.83907,-0.5881120482791548,0,279,0.035842293906810034
2209.903013915118,50,5-10c,partially_sold,80,55.11558199999998,0.02494027188204783,80,80,0.3
35.79809600161425,0,5-10c,transform_affected,2,218.70139300000002,6.109302377147045,2,2,1.0
5100.823152028649,6,10-20c,mostly_or_fully_sold,291,7844.425634,1.5378744567688438,290,291,0.5979381443298969
5179.831961571406,221,10-20c,never_sold,314,-878.911551,-0.16967954897389462,0,314,0.10509554140127389
2706.647908425646,51,10-20c,partially_sold,77,-604.780562,-0.22344264287842958,77,77,0.16883116883116883
150.31658199163937,1,10-20c,transform_affected,6,219.855097,1.4626137322110502,5,6,0.8333333333333334
10233.227557433476,1,>=20c,mostly_or_fully_sold,300,5392.31803,0.5269420619971447,295,300,0.6466666666666666
5195.910785829376,105,>=20c,never_sold,162,-834.4311130000001,-0.16059381067044387,0,162,0.22839506172839505
2314.6833675130943,13,>=20c,partially_sold,22,-9.979290000000006,-0.004311298098072826,22,22,0.2727272727272727
1229.0013174927083,0,>=20c,transform_affected,15,573.935969,0.4669937784695704,11,15,0.8
