capital_at_risk_usd,current_zero_value_added_positions,exit_mode_v2,positions,realized_pnl_v2,roi_v2,sell_before_local_day_end_positions,settled_positions,win_rate_v2
23518.416651040498,1351,never_sold,1898,-5463.38106,-0.232302248108964,0,1898,0.08377239199157008
10271.78870227102,201,partially_sold,319,-827.5782320000001,-0.08056807397303922,319,319,0.2476489028213166
27757.46175546668,11,mostly_or_fully_sold,1272,26681.280677,0.9612291250566262,1260,1272,0.5683962264150944
9166.553531370446,3,transform_affected,156,2452.230784,0.26751938726019514,62,156,0.5
