capital_at_risk_usd,city,current_zero_value_added_positions,exit_modes,has_transform_affected,no_positions,positions,realized_pnl_v2,roi_v2,sell_before_local_day_end_positions,settled_positions,unit,weather_date,weather_metric,yes_positions
109.55488060104,Taipei,0,mostly_or_fully_sold,False,1,2,16.963343000000002,0.15483877036728722,2,2,C,2026-04-01,high,1
4.25595,Toronto,1,never_sold,False,0,1,-4.6314,-1.088217671730166,0,1,C,2026-04-01,high,1
28.956917135479987,Ankara,1,never_sold|partially_sold,False,0,3,-29.762853,-1.0278322399014128,1,3,C,2026-04-02,high,3
44.948420055877186,Buenos Aires,1,mostly_or_fully_sold|never_sold,False,0,5,-2.087756000000004,-0.046447817240397565,1,5,C,2026-04-02,high,5
29.999,Chengdu,1,mostly_or_fully_sold,False,0,2,-28.431800000000003,-0.9477582586086204,2,2,C,2026-04-02,high,2
15.99495274809632,Hong Kong,0,mostly_or_fully_sold|never_sold,False,0,2,32.444100999999996,2.028396176654002,1,2,C,2026-04-02,high,2
10.759753334136299,Moscow,0,mostly_or_fully_sold,False,1,1,13.171769,1.224170163660849,1,1,C,2026-04-02,high,0
8.90328,Paris,1,never_sold,False,0,2,-9.0116,-1.0121663027558383,0,2,C,2026-04-02,high,2
12.16781409708508,Sao Paulo,2,never_sold|partially_sold,False,1,2,-8.7222,-0.7168255473338873,1,2,C,2026-04-02,high,1
18.0795806,Seoul,0,partially_sold,False,0,1,-4.171076,-0.23070645786993535,1,1,C,2026-04-02,high,1
52.21328661190486,Taipei,0,mostly_or_fully_sold|never_sold,False,0,8,48.688975,0.9325016324273809,3,8,C,2026-04-02,high,8
3.9999330000000004,Tel Aviv,1,never_sold,False,0,1,-3.9999,-0.99999174986181,0,1,C,2026-04-02,high,1
55.19902498041599,Tokyo,0,mostly_or_fully_sold|never_sold,False,1,4,193.856164,3.5119490619404607,2,4,C,2026-04-02,high,3
16.1050473988198,Toronto,2,never_sold,False,0,3,-16.744743,-1.0397201936348899,0,3,C,2026-04-02,high,3
15.196154869507133,Beijing,1,mostly_or_fully_sold|never_sold,False,0,2,-4.4783,-0.2946995498832559,1,2,C,2026-04-03,high,2
