gross_loss_pnl,gross_positive_pnl,items_with_pnl,leave_top1_out_pnl,level,top10_pnl,top10_share_of_gross_positive_pnl,top10_share_of_net_pnl,top1_id,top1_pnl,top1_share_of_gross_positive_pnl,top1_share_of_net_pnl,top5_pnl,top5_share_of_gross_positive_pnl,top5_share_of_net_pnl,total_net_pnl
-26066.065105,48908.617274,3645,21870.748706,weather_position_assets_all_outcomes_v2,6186.452604,0.12649003281654297,0.270830183870423,111269996562844449860785223267584799257095037628668425663953762105882155044709,971.803463,0.01986977995218471,0.042543558872499825,3691.674444,0.07548106345591798,0.1616139219771612,22842.552169
-20610.532082,44262.753353,3100,22680.417808,weather_position_assets_yes_only_v2,6186.452604,0.13976655619821943,0.2615590532964112,111269996562844449860785223267584799257095037628668425663953762105882155044709,971.803463,0.021955332404420658,0.041087196499025175,3691.674444,0.08340363317569781,0.15608151140232923,23652.221271
-15739.234977,38581.787146,1622,21899.979465,weather_city_day_baskets_all_outcomes_v2,6073.716151,0.15742443780574578,0.2658948135945483,Seoul|2026-02-14|high|C,942.5727039999999,0.024430509152755044,0.041263896303110156,3530.988703,0.09151957346190684,0.15457943039271954,22842.552169
-7392.44782,22370.244491,591,14320.44838,adjacent_yes_baskets_v2,4728.119712,0.21135753406281355,0.31567525022919973,Hong Kong|2026-07-07|high|C,657.348291,0.029384939948441977,0.043888183652055934,2891.16837,0.12924169743263983,0.19303028566263541,14977.796671
