capital_at_risk_usd,city_day_count,negative_city_day_count,positive_city_day_count,realized_pnl_v2,weather_date
11.679998999549072,4,3,1,-0.2732749999999997,2026-01-25
6.689996999662793,1,0,1,2.781668,2026-01-27
12.459997999308648,1,1,0,-12.459968,2026-01-28
53.199595996781895,3,1,2,-3.534198999999999,2026-01-31
2.9999980017493564,2,2,0,-2.9825660000000003,2026-02-01
5.236,1,0,1,0.18799999999999994,2026-02-02
2.6080000000000005,3,3,0,-0.1908,2026-02-03
58.066570999975234,3,1,2,1.3405980000000026,2026-02-04
4.0,2,2,0,-3.0,2026-02-05
66.0,3,2,1,2.915,2026-02-06
16.490000000000002,1,0,1,0.5099999999999998,2026-02-07
245.2428489993794,5,1,4,2.371132999999997,2026-02-08
599.5915489994061,7,2,5,4.902696999999984,2026-02-09
334.9081689977,4,2,2,-0.6397489999999855,2026-02-10
764.7076349974077,6,2,4,6.942408000000003,2026-02-11
297.939702,3,0,3,2.127650000000017,2026-02-12
448.2209050000001,4,2,2,16.308661999999998,2026-02-13
687.3536360112946,3,1,2,944.6414159999999,2026-02-14
1368.408432000082,6,1,5,10.579356,2026-02-15
282.6385900033101,5,2,3,78.149655,2026-02-16
491.32879199999996,6,3,3,-0.8640219999999967,2026-02-17
404.394491999835,5,2,3,26.837405,2026-02-18
296.094127995054,7,5,2,24.495811999999997,2026-02-19
157.8220360013427,4,2,2,76.623519,2026-02-20
209.431809999353,6,3,3,82.818111,2026-02-21
400.2580199994845,4,1,3,18.314252000000018,2026-02-22
197.24691299782165,7,4,3,19.432658000000007,2026-02-23
33.95222400039265,2,1,1,3.1197940000000024,2026-02-24
42.519107999999996,5,4,1,6.0723320000000065,2026-02-25
55.197349,4,1,3,348.685581,2026-02-26
213.74702099278264,3,1,2,12.845471,2026-02-27
276.6828040003893,3,0,3,190.184117,2026-02-28
97.09710300010083,5,4,1,-35.201558,2026-03-01
241.70892000148623,9,2,7,110.888375,2026-03-02
188.2598379985975,8,4,4,73.72464300000001,2026-03-03
304.5240989949506,8,2,6,89.92385200000001,2026-03-04
755.1831550120202,7,3,4,392.17809200000005,2026-03-05
410.6447080102603,10,5,5,90.99247299999999,2026-03-06
132.851325999003,6,3,3,137.38601599999998,2026-03-07
125.02039400424596,6,2,4,100.106756,2026-03-08
166.079542000957,7,6,1,128.64813600000002,2026-03-09
670.7721409988554,6,3,3,-21.45167699999996,2026-03-10
258.8922799999053,6,3,3,20.519108,2026-03-11
83.74408499800714,6,4,2,-20.908785999999996,2026-03-12
212.8567099944826,6,2,4,128.47170300000002,2026-03-13
617.58294699442,5,4,1,94.48031299999998,2026-03-14
303.04181900155567,9,3,6,5.369702,2026-03-15
457.38184399881686,7,4,3,117.631845,2026-03-16
330.79692200968765,8,2,6,157.577542,2026-03-17
188.39892500147644,10,5,5,76.561997,2026-03-18
237.02830699864273,11,4,7,98.15541900000001,2026-03-19
245.46771799777784,10,7,3,-79.772818,2026-03-20
147.6842570109445,11,7,3,-12.836422000000004,2026-03-21
195.87866798151182,8,3,5,345.13579500000003,2026-03-22
219.74469199717493,9,6,3,-52.80755,2026-03-23
395.16841300148315,14,10,4,-1.2671330000000045,2026-03-24
249.47058999132528,9,4,5,147.672552,2026-03-25
1011.4039399980359,12,6,6,270.335779,2026-03-26
208.02991800403595,4,2,2,6.390524,2026-03-27
474.07523800230683,8,3,5,132.019044,2026-03-28
284.91665199847773,7,1,6,400.938129,2026-03-29
384.82848321079337,15,10,5,381.784062,2026-03-30
356.0623101813377,12,7,5,171.80598700000002,2026-04-01
297.3270099618155,12,8,4,185.229081,2026-04-02
244.92720639194198,9,4,5,175.069905,2026-04-03
264.21272138068827,14,10,4,46.207268000000006,2026-04-04
337.0447051924394,11,5,6,198.1734,2026-04-05
233.0926640168785,14,7,7,144.427815,2026-04-06
704.0594315709327,12,4,8,422.28208100000006,2026-04-07
287.0428153996872,12,7,5,126.803152,2026-04-08
156.5844189882565,9,6,3,6.815508,2026-04-09
259.1713375899498,10,4,6,340.223492,2026-04-10
309.8768763491811,12,9,3,115.438357,2026-04-11
744.24253385239,20,8,12,521.8165309999999,2026-04-12
508.98648032950734,14,7,7,335.531955,2026-04-13
517.435249045929,16,9,6,25.895778,2026-04-14
261.52683676943224,13,8,5,97.366117,2026-04-15
709.5405888614317,15,10,5,235.477663,2026-04-16
841.0852405780635,16,14,1,-409.390161,2026-04-17
822.6958193876582,18,9,9,384.51640999999995,2026-04-18
342.2544633963798,19,12,7,68.590447,2026-04-19
416.36120438052274,19,12,7,259.787335,2026-04-20
548.723448058212,21,17,4,-90.97774299999999,2026-04-21
407.4209520518352,12,10,2,54.191069,2026-04-22
430.67825779217367,12,9,3,195.38272999999998,2026-04-23
251.91597564240575,8,5,3,199.663334,2026-04-24
458.75606104826693,13,8,5,119.404529,2026-04-25
342.46553882318693,10,8,1,72.18955899999999,2026-04-26
322.4494842987933,12,6,6,264.69258599999995,2026-04-27
413.9304586544478,12,9,3,115.28602799999999,2026-04-28
169.63425074010203,6,4,2,97.406023,2026-04-29
512.9524089906064,12,8,4,123.122025,2026-04-30
1352.027584988565,15,10,4,594.600875,2026-05-01
378.8106469727562,14,11,3,203.962232,2026-05-02
160.9727449993009,5,2,3,216.25395,2026-05-03
671.8650140233331,19,11,8,569.57937,2026-05-04
477.38526500080087,11,4,7,273.646781,2026-05-05
1275.1914909908478,14,6,8,306.317422,2026-05-06
139.47322900203076,8,7,1,18.14808500000001,2026-05-07
1335.7987339846686,11,2,9,396.614486,2026-05-08
394.85688398508546,13,6,7,207.82682500000004,2026-05-09
1417.4668469889227,9,2,7,741.386294,2026-05-10
1525.8091700099048,14,4,10,290.684528,2026-05-11
312.6050669511799,12,5,7,200.962626,2026-05-12
404.4129859989559,9,3,6,150.646334,2026-05-13
910.9642069233578,13,6,7,-41.15815700000001,2026-05-14
950.558409962541,7,0,7,246.286531,2026-05-15
932.1004780119742,14,4,10,840.266355,2026-05-16
426.54019793398703,13,4,9,300.060721,2026-05-17
115.88097500865952,6,5,1,-73.4404,2026-05-18
74.7485260019,3,0,3,66.881294,2026-05-20
670.7873669309038,14,4,10,411.05753999999996,2026-05-21
