city_a,city_b,overlap_days,pearson_corr_no_zero_fill,same_sign_rate
Helsinki,London,13,0.006555949820191144,0.46153846153846156
Helsinki,Seoul,13,-0.016898461967665358,0.38461538461538464
Istanbul,Tokyo,13,0.7416887361255222,0.8461538461538461
Istanbul,Warsaw,13,0.018504575028654182,0.5384615384615384
London,Tel Aviv,13,-0.1080666626189339,0.6153846153846154
London,Wellington,13,0.7350374286369911,0.5384615384615384
Madrid,Taipei,13,-0.31142359862184466,0.3076923076923077
Milan,Tokyo,13,-0.10731582779198803,0.38461538461538464
Munich,Qingdao,13,-0.1427868167545755,0.3076923076923077
Paris,Qingdao,13,0.18179650968633035,0.5384615384615384
Sao Paulo,Toronto,13,0.40388627849042785,0.6153846153846154
Sao Paulo,Wuhan,13,-0.13297696277396615,0.6923076923076923
Seoul,Wellington,13,-0.0447734295295256,0.5384615384615384
Seoul,Wuhan,13,0.5693698883644559,0.6923076923076923
Busan,Istanbul,12,0.6744328620739481,0.6666666666666666
Hong Kong,Munich,12,0.04424951049195098,0.3333333333333333
Istanbul,Paris,12,-0.2474015379686455,0.3333333333333333
Madrid,Shanghai,12,-0.3621620691493921,0.75
Miami,New York City,12,0.14146401142933857,0.75
Munich,Shanghai,12,0.017957995996974965,0.6666666666666666
Shanghai,Taipei,12,-0.19507392058979536,0.5
Shanghai,Tokyo,12,-0.2146242134994793,0.5
Amsterdam,Buenos Aires,11,-0.36649165602166994,0.5454545454545454
Ankara,Shanghai,11,-0.6073542218366935,0.45454545454545453
Ankara,Wuhan,11,-0.43203489705158576,0.8181818181818182
Busan,Shanghai,11,-0.11263314092983165,0.5454545454545454
Chongqing,Seoul,11,0.723097018058933,0.9090909090909091
Istanbul,Shanghai,11,-0.06454369465185375,0.7272727272727273
Istanbul,Shenzhen,11,-0.062182438384905246,0.6363636363636364
Madrid,Milan,11,0.2884477573941498,0.5454545454545454
Madrid,Qingdao,11,0.04658156650426945,0.5454545454545454
Paris,Shanghai,11,0.9380781530081973,0.7272727272727273
Qingdao,Shanghai,11,0.5010417086309145,0.6363636363636364
Qingdao,Taipei,11,-0.08415785856089217,0.9090909090909091
Sao Paulo,Tel Aviv,11,-0.18242805281622182,0.5454545454545454
Taipei,Wellington,11,0.19223225678810268,0.6363636363636364
Amsterdam,Seoul,10,0.40967853775412805,0.5
Ankara,Hong Kong,10,-0.12556732406896448,0.7
Ankara,Toronto,10,-0.0007185977440792985,0.6
Buenos Aires,Tel Aviv,10,-0.42441106332186235,0.6
Chongqing,London,10,0.3348460059064406,0.7
Chongqing,Madrid,10,0.0022600434016080712,0.5
Chongqing,Sao Paulo,10,0.7525467067784193,0.8
Helsinki,Moscow,10,0.22913864402637601,0.8
Helsinki,Sao Paulo,10,-0.7246300172756854,0.4
Hong Kong,Paris,10,-0.4830889421707195,0.2
Hong Kong,Qingdao,10,-0.0276761091232054,0.7
Istanbul,Taipei,10,-0.30813922898149454,0.5
Milan,Shenzhen,10,-0.4253914476820998,0.4
Moscow,Wuhan,10,-0.1275929564595908,0.5
Munich,Wuhan,10,0.3362487974866445,0.6
Seoul,Tel Aviv,10,-0.7847633062260735,0.7
Tokyo,Wuhan,10,0.12219400011486789,0.7
Amsterdam,Moscow,9,-0.1871438304571036,0.6666666666666666
Amsterdam,Sao Paulo,9,-0.23009644963943063,0.4444444444444444
Ankara,Chongqing,9,0.17620472149732164,0.5555555555555556
Ankara,Milan,9,0.5362214533472125,0.6666666666666666
Ankara,Tel Aviv,9,-0.24720534438090652,0.5555555555555556
Beijing,Wuhan,9,0.2509802541643053,0.6666666666666666
Buenos Aires,Chongqing,9,0.39244404969897473,0.5555555555555556
Chicago,New York City,9,0.13309805638984393,0.3333333333333333
Chongqing,Moscow,9,-0.412237073388772,0.5555555555555556
Hong Kong,Madrid,9,0.33342763095602257,0.4444444444444444
Milan,Shanghai,9,-0.6470107262975862,0.6666666666666666
Milan,Warsaw,9,-0.3284547573520412,0.4444444444444444
Moscow,Tel Aviv,9,0.29300242793432174,0.4444444444444444
Paris,Wuhan,9,0.5543176546332358,0.6666666666666666
Tel Aviv,Tokyo,9,-0.1446054047096295,0.4444444444444444
